PSA_ID,Domain,Subcategory,EN,SW,SO,EK,DH,Source,Date_Generated,Confidence_Note
PSA_00011,Health,Disease Prevention and Control,The Kenya Red Cross urges residents of Mombasa to attend the free tuberculosis clinic before the end of the month.,Msalaba Mwekundu wa Kenya inawahimiza wakazi wa Mombasa kuhudhuria kliniki ya bure ya kifua kikuu kabla ya mwisho wa mwezi.,Iskaashiga Casumaadka Kenya waxay ku booriyaysaa dadka Mombasa inay ka qeybgalaan kaliinigga bilaashka ah ee qaaxada ka hor dhammaadka bisha.,Red Cross ya Kenya egotebia abanto b'Mombasa gochia ase kiliniki ekya chifua kikuu bwerabwera imbere y'okoisia okwaikara.,Red Cross mar Kenya jiwo ni jo Mombasa mondo obi e kliniki mar TB nono kapok dwe orumo.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00012,Health,Disease Prevention and Control,The Ministry of Health urges residents of Mombasa to attend the free cholera clinic 20th October 2026.,Wizara ya Afya inawahimiza wakazi wa Mombasa kuhudhuria kliniki ya bure ya kipindupindu tarehe 20 Oktoba 2026.,Wasaaradda Caafimaadka waxay ku booriyaysaa dadka Mombasa inay ka qeybgalaan kaliinigga bilaashka ah ee daacuunka 20-ka Oktoobar 2026.,Ministri y'Ebiombe egotebia abanto b'Mombasa gochia ase kiliniki ekya kipindupindu bwerabwera ekiro kia 20 Oktoba 2026.,Ministry mar Ngima jiwo ni jo Mombasa mondo obi e kliniki mar kolera nono tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00013,Health,Disease Prevention and Control,"KEMRI announces a cholera outreach exercise in Garissa, starting before the end of the month.","KEMRI inatangaza zoezi la kipindupindu katika Garissa, litaanza kabla ya mwisho wa mwezi.","KEMRI waxay ku dhawaaqday hawl daacuunka ah oo Garissa, oo bilaabmaysa ka hor dhammaadka bisha.","KEMRI egotangaza omobaso kwa kipindupindu ase Garissa, ekwamba imbere y'okoisia okwaikara.","KEMRI lando tich mar kolera e Garissa, chakre kapok dwe orumo.","Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00014,Health,Disease Prevention and Control,"The Kenya Red Cross announces a HIV/AIDS outreach exercise in Machakos, starting 20th October 2026.","Msalaba Mwekundu wa Kenya inatangaza zoezi la VVU/UKIMWI katika Machakos, litaanza tarehe 20 Oktoba 2026.","Iskaashiga Casumaadka Kenya waxay ku dhawaaqday hawl HIV/AIDS-ka ah oo Machakos, oo bilaabmaysa 20-ka Oktoobar 2026.","Red Cross ya Kenya egotangaza omobaso kwa HIV/UKIMWI ase Machakos, ekwamba ekiro kia 20 Oktoba 2026.","Red Cross mar Kenya lando tich mar HIV/AIDS e Machakos, chakre tarik 20 Oktoba 2026.","Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00015,Health,Disease Prevention and Control,The Ministry of Health warns residents of Kilifi of a rise in tuberculosis cases and advises precaution by Friday.,Wizara ya Afya inawaonya wakazi wa Kilifi kuhusu ongezeko la visa vya kifua kikuu na kutaka tahadhari ifikapo Ijumaa.,Wasaaradda Caafimaadka waxay uga digaysaa dadka Kilifi kororka kiisaska qaaxada marka la gaaro Jimcaha.,Ministri y'Ebiombe egoseka abanto b'Kilifi ase okoongera kw'amasiko a chifua kikuu erinda Ijumaa.,Ministry mar Ngima siemo jo Kilifi kuom medruok mar TB chopni chieng' Ijumaa.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00016,Health,Disease Prevention and Control,The Kenya Red Cross urges residents of Kilifi to attend the free cholera clinic 15th August 2026.,Msalaba Mwekundu wa Kenya inawahimiza wakazi wa Kilifi kuhudhuria kliniki ya bure ya kipindupindu tarehe 15 Agosti 2026.,Iskaashiga Casumaadka Kenya waxay ku booriyaysaa dadka Kilifi inay ka qeybgalaan kaliinigga bilaashka ah ee daacuunka 15-ka Ogosto 2026.,Red Cross ya Kenya egotebia abanto b'Kilifi gochia ase kiliniki ekya kipindupindu bwerabwera ekiro kia 15 Agosti 2026.,Red Cross mar Kenya jiwo ni jo Kilifi mondo obi e kliniki mar kolera nono tarik 15 Agosti 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00017,Health,Disease Prevention and Control,The County Department of Health reminds the public in Kisumu that malaria screening is available the next 7 days.,Idara ya Afya ya Kaunti inawakumbusha umma wa Kisumu kuwa uchunguzi wa malaria unapatikana siku 7 zijazo.,Waaxda Caafimaadka ee Gobolka waxay xasuusinaysaa dadweynaha Kisumu in baaritaanka duumada la heli karo 7-da maalmood ee soo socda.,Ebiombe bia County egoibokia abanto b'Kisumu ng'okoigereka kwa malaria kwaboreka ebiro saba biria bироche.,Bad mar Ngima e County paro ni ji Kisumu ni nonro mar malaria nitie ndalo abiriyo mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00018,Health,Disease Prevention and Control,The County Department of Health urges residents of Garissa to attend the free HIV/AIDS clinic the next 7 days.,Idara ya Afya ya Kaunti inawahimiza wakazi wa Garissa kuhudhuria kliniki ya bure ya VVU/UKIMWI siku 7 zijazo.,Waaxda Caafimaadka ee Gobolka waxay ku booriyaysaa dadka Garissa inay ka qeybgalaan kaliinigga bilaashka ah ee HIV/AIDS-ka 7-da maalmood ee soo socda.,Ebiombe bia County egotebia abanto b'Garissa gochia ase kiliniki ekya HIV/UKIMWI bwerabwera ebiro saba biria bироche.,Bad mar Ngima e County jiwo ni jo Garissa mondo obi e kliniki mar HIV/AIDS nono ndalo abiriyo mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00019,Health,Disease Prevention and Control,The Ministry of Health calls on all households in Kisii to complete tuberculosis vaccination 30th July 2026.,Wizara ya Afya inatoa wito kwa kaya zote za Kisii kukamilisha chanjo ya kifua kikuu tarehe 30 Julai 2026.,Wasaaradda Caafimaadka waxay ku dhiirigelinaysaa qoysaska Kisii inay dhammaystiraan tallaalka qaaxada 30-ka Luulyo 2026.,Ministri y'Ebiombe egoiterera amache aria ase Kisii okomaliza chanjo ya chifua kikuu ekiro kia 30 Julai 2026.,Ministry mar Ngima luongo ute duto e Kisii mondo giti chuoyo mar TB tarik 30 Julai 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00020,Health,Disease Prevention and Control,The County Department of Health calls on all households in Kisumu to complete cholera vaccination this weekend.,Idara ya Afya ya Kaunti inatoa wito kwa kaya zote za Kisumu kukamilisha chanjo ya kipindupindu wikendi hii.,Waaxda Caafimaadka ee Gobolka waxay ku dhiirigelinaysaa qoysaska Kisumu inay dhammaystiraan tallaalka daacuunka usbuucan.,Ebiombe bia County egoiterera amache aria ase Kisumu okomaliza chanjo ya kipindupindu wiki inu.,Bad mar Ngima e County luongo ute duto e Kisumu mondo giti chuoyo mar kolera juma ni.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00021,Health,Disease Prevention and Control,The Ministry of Health calls on all households in Nyeri to complete malaria vaccination the next 7 days.,Wizara ya Afya inatoa wito kwa kaya zote za Nyeri kukamilisha chanjo ya malaria siku 7 zijazo.,Wasaaradda Caafimaadka waxay ku dhiirigelinaysaa qoysaska Nyeri inay dhammaystiraan tallaalka duumada 7-da maalmood ee soo socda.,Ministri y'Ebiombe egoiterera amache aria ase Nyeri okomaliza chanjo ya malaria ebiro saba biria bироche.,Ministry mar Ngima luongo ute duto e Nyeri mondo giti chuoyo mar malaria ndalo abiriyo mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00022,Health,Disease Prevention and Control,The County Department of Health reminds the public in Nyeri that tuberculosis screening is available this weekend.,Idara ya Afya ya Kaunti inawakumbusha umma wa Nyeri kuwa uchunguzi wa kifua kikuu unapatikana wikendi hii.,Waaxda Caafimaadka ee Gobolka waxay xasuusinaysaa dadweynaha Nyeri in baaritaanka qaaxada la heli karo usbuucan.,Ebiombe bia County egoibokia abanto b'Nyeri ng'okoigereka kwa chifua kikuu kwaboreka wiki inu.,Bad mar Ngima e County paro ni ji Nyeri ni nonro mar TB nitie juma ni.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00023,Health,Disease Prevention and Control,KEMRI calls on all households in Mombasa to complete HIV/AIDS vaccination 15th August 2026.,KEMRI inatoa wito kwa kaya zote za Mombasa kukamilisha chanjo ya VVU/UKIMWI tarehe 15 Agosti 2026.,KEMRI waxay ku dhiirigelinaysaa qoysaska Mombasa inay dhammaystiraan tallaalka HIV/AIDS-ka 15-ka Ogosto 2026.,KEMRI egoiterera amache aria ase Mombasa okomaliza chanjo ya HIV/UKIMWI ekiro kia 15 Agosti 2026.,KEMRI luongo ute duto e Mombasa mondo giti chuoyo mar HIV/AIDS tarik 15 Agosti 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00024,Health,Disease Prevention and Control,"The Ministry of Health announces a cholera outreach exercise in Kisii, starting 15th August 2026.","Wizara ya Afya inatangaza zoezi la kipindupindu katika Kisii, litaanza tarehe 15 Agosti 2026.","Wasaaradda Caafimaadka waxay ku dhawaaqday hawl daacuunka ah oo Kisii, oo bilaabmaysa 15-ka Ogosto 2026.","Ministri y'Ebiombe egotangaza omobaso kwa kipindupindu ase Kisii, ekwamba ekiro kia 15 Agosti 2026.","Ministry mar Ngima lando tich mar kolera e Kisii, chakre tarik 15 Agosti 2026.","Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00025,Health,Disease Prevention and Control,The County Department of Health calls on all households in Migori to complete cholera vaccination 20th October 2026.,Idara ya Afya ya Kaunti inatoa wito kwa kaya zote za Migori kukamilisha chanjo ya kipindupindu tarehe 20 Oktoba 2026.,Waaxda Caafimaadka ee Gobolka waxay ku dhiirigelinaysaa qoysaska Migori inay dhammaystiraan tallaalka daacuunka 20-ka Oktoobar 2026.,Ebiombe bia County egoiterera amache aria ase Migori okomaliza chanjo ya kipindupindu ekiro kia 20 Oktoba 2026.,Bad mar Ngima e County luongo ute duto e Migori mondo giti chuoyo mar kolera tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00026,Health,Disease Prevention and Control,The Ministry of Health reminds the public in Eldoret that HIV/AIDS screening is available during the coming school term.,Wizara ya Afya inawakumbusha umma wa Eldoret kuwa uchunguzi wa VVU/UKIMWI unapatikana muhula ujao wa shule.,Wasaaradda Caafimaadka waxay xasuusinaysaa dadweynaha Eldoret in baaritaanka HIV/AIDS-ka la heli karo xilliga dugsiga ee soo socda.,Ministri y'Ebiombe egoibokia abanto b'Eldoret ng'okoigereka kwa HIV/UKIMWI kwaboreka omwaka ogochaa ogw'esukuru.,Ministry mar Ngima paro ni ji Eldoret ni nonro mar HIV/AIDS nitie kinde skul mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00027,Health,Disease Prevention and Control,KEMRI reminds the public in Nairobi that tuberculosis screening is available 20th October 2026.,KEMRI inawakumbusha umma wa Nairobi kuwa uchunguzi wa kifua kikuu unapatikana tarehe 20 Oktoba 2026.,KEMRI waxay xasuusinaysaa dadweynaha Nairobi in baaritaanka qaaxada la heli karo 20-ka Oktoobar 2026.,KEMRI egoibokia abanto b'Nairobi ng'okoigereka kwa chifua kikuu kwaboreka ekiro kia 20 Oktoba 2026.,KEMRI paro ni ji Nairobi ni nonro mar TB nitie tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00028,Health,Disease Prevention and Control,The Kenya Red Cross reminds the public in Meru that HIV/AIDS screening is available 20th October 2026.,Msalaba Mwekundu wa Kenya inawakumbusha umma wa Meru kuwa uchunguzi wa VVU/UKIMWI unapatikana tarehe 20 Oktoba 2026.,Iskaashiga Casumaadka Kenya waxay xasuusinaysaa dadweynaha Meru in baaritaanka HIV/AIDS-ka la heli karo 20-ka Oktoobar 2026.,Red Cross ya Kenya egoibokia abanto b'Meru ng'okoigereka kwa HIV/UKIMWI kwaboreka ekiro kia 20 Oktoba 2026.,Red Cross mar Kenya paro ni ji Meru ni nonro mar HIV/AIDS nitie tarik 20 Oktoba 2026.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00029,Health,Disease Prevention and Control,The Ministry of Health reminds the public in Garissa that tuberculosis screening is available by Friday.,Wizara ya Afya inawakumbusha umma wa Garissa kuwa uchunguzi wa kifua kikuu unapatikana ifikapo Ijumaa.,Wasaaradda Caafimaadka waxay xasuusinaysaa dadweynaha Garissa in baaritaanka qaaxada la heli karo marka la gaaro Jimcaha.,Ministri y'Ebiombe egoibokia abanto b'Garissa ng'okoigereka kwa chifua kikuu kwaboreka erinda Ijumaa.,Ministry mar Ngima paro ni ji Garissa ni nonro mar TB nitie chopni chieng' Ijumaa.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00030,Health,Disease Prevention and Control,"The County Department of Health announces a cholera outreach exercise in Nakuru, starting the next 7 days.","Idara ya Afya ya Kaunti inatangaza zoezi la kipindupindu katika Nakuru, litaanza siku 7 zijazo.","Waaxda Caafimaadka ee Gobolka waxay ku dhawaaqday hawl daacuunka ah oo Nakuru, oo bilaabmaysa 7-da maalmood ee soo socda.","Ebiombe bia County egotangaza omobaso kwa kipindupindu ase Nakuru, ekwamba ebiro saba biria bироche.","Bad mar Ngima e County lando tich mar kolera e Nakuru, chakre ndalo abiriyo mabiro.","Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00031,Health,Disease Prevention and Control,The County Department of Health urges residents of Nakuru to attend the free malaria clinic this weekend.,Idara ya Afya ya Kaunti inawahimiza wakazi wa Nakuru kuhudhuria kliniki ya bure ya malaria wikendi hii.,Waaxda Caafimaadka ee Gobolka waxay ku booriyaysaa dadka Nakuru inay ka qeybgalaan kaliinigga bilaashka ah ee duumada usbuucan.,Ebiombe bia County egotebia abanto b'Nakuru gochia ase kiliniki ekya malaria bwerabwera wiki inu.,Bad mar Ngima e County jiwo ni jo Nakuru mondo obi e kliniki mar malaria nono juma ni.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00032,Health,Disease Prevention and Control,KEMRI reminds the public in Migori that tuberculosis screening is available before the end of the month.,KEMRI inawakumbusha umma wa Migori kuwa uchunguzi wa kifua kikuu unapatikana kabla ya mwisho wa mwezi.,KEMRI waxay xasuusinaysaa dadweynaha Migori in baaritaanka qaaxada la heli karo ka hor dhammaadka bisha.,KEMRI egoibokia abanto b'Migori ng'okoigereka kwa chifua kikuu kwaboreka imbere y'okoisia okwaikara.,KEMRI paro ni ji Migori ni nonro mar TB nitie kapok dwe orumo.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00033,Health,Disease Prevention and Control,KEMRI warns residents of Kericho of a rise in cholera cases and advises precaution within 14 days.,KEMRI inawaonya wakazi wa Kericho kuhusu ongezeko la visa vya kipindupindu na kutaka tahadhari ndani ya siku 14.,KEMRI waxay uga digaysaa dadka Kericho kororka kiisaska daacuunka gudaha 14 maalmood.,KEMRI egoseka abanto b'Kericho ase okoongera kw'amasiko a kipindupindu ase ebiro ekomi n'ena.,KEMRI siemo jo Kericho kuom medruok mar kolera e sanduok ndalo 14.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00034,Health,Disease Prevention and Control,KEMRI warns residents of Nakuru of a rise in HIV/AIDS cases and advises precaution this weekend.,KEMRI inawaonya wakazi wa Nakuru kuhusu ongezeko la visa vya VVU/UKIMWI na kutaka tahadhari wikendi hii.,KEMRI waxay uga digaysaa dadka Nakuru kororka kiisaska HIV/AIDS-ka usbuucan.,KEMRI egoseka abanto b'Nakuru ase okoongera kw'amasiko a HIV/UKIMWI wiki inu.,KEMRI siemo jo Nakuru kuom medruok mar HIV/AIDS juma ni.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00035,Health,Disease Prevention and Control,"KEMRI announces a cholera outreach exercise in Bungoma, starting 15th August 2026.","KEMRI inatangaza zoezi la kipindupindu katika Bungoma, litaanza tarehe 15 Agosti 2026.","KEMRI waxay ku dhawaaqday hawl daacuunka ah oo Bungoma, oo bilaabmaysa 15-ka Ogosto 2026.","KEMRI egotangaza omobaso kwa kipindupindu ase Bungoma, ekwamba ekiro kia 15 Agosti 2026.","KEMRI lando tich mar kolera e Bungoma, chakre tarik 15 Agosti 2026.","Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00036,Health,Disease Prevention and Control,"KEMRI announces a malaria outreach exercise in Migori, starting this weekend.","KEMRI inatangaza zoezi la malaria katika Migori, litaanza wikendi hii.","KEMRI waxay ku dhawaaqday hawl duumada ah oo Migori, oo bilaabmaysa usbuucan.","KEMRI egotangaza omobaso kwa malaria ase Migori, ekwamba wiki inu.","KEMRI lando tich mar malaria e Migori, chakre juma ni.","Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
PSA_00037,Health,Disease Prevention and Control,The Ministry of Health urges residents of Kisumu to attend the free tuberculosis clinic the next 7 days.,Wizara ya Afya inawahimiza wakazi wa Kisumu kuhudhuria kliniki ya bure ya kifua kikuu siku 7 zijazo.,Wasaaradda Caafimaadka waxay ku booriyaysaa dadka Kisumu inay ka qeybgalaan kaliinigga bilaashka ah ee qaaxada 7-da maalmood ee soo socda.,Ministri y'Ebiombe egotebia abanto b'Kisumu gochia ase kiliniki ekya chifua kikuu bwerabwera ebiro saba biria bироche.,Ministry mar Ngima jiwo ni jo Kisumu mondo obi e kliniki mar TB nono ndalo abiriyo mabiro.,"Simulated (LLM-generated, instructor-approved substitute for scraped data)",2026-07-22,High (EN/SW); Moderate (SO); Low/best-effort - requires native speaker verification (EK/DH)
