PSA_ID,Domain,Class,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
15,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),The 2021 Political Declaration on HIV and AIDS specified that community-led organizations should be delivering 80% of HIV prevention services for populations at high risk of HIV infection by 2025.,,,,,ReliefWeb Kenya,2026-06-08,"{""source_url"": ""https://reliefweb.int/report/kenya/scalable-and-sustainable-primary-hiv-prevention-models-people-key-populations"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
16,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"The county department of health – Uasin Gishu, however, dismissed the rumor through public notice as false.",,,,,ReliefWeb Kenya,2026-06-26,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-bundibugyo-virus-disease-bvd-readiness-dref-operation-mdrke072"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
17,Security & Safety,PSA,Public Safety Awareness,"Uneven rains, unequal impact: Drought and hunger in Northern Kenya - Kenya",,,,,ReliefWeb Kenya,2026-06-02,"{""source_url"": ""https://reliefweb.int/report/kenya/uneven-rains-unequal-impact-drought-and-hunger-northern-kenya"", ""collected_at"": ""2026-07-13T00:51:45.797562""}"
18,Security & Safety,PSA,Public Safety Awareness,"Uneven rains, unequal impact: Drought and hunger in Northern Kenya - Kenya While floods in parts of Kenya demand urgent response, drought affected communities are facing a quieter emergency that unfolds over months rather than days.",,,,,ReliefWeb Kenya,2026-06-02,"{""source_url"": ""https://reliefweb.int/report/kenya/uneven-rains-unequal-impact-drought-and-hunger-northern-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
19,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"In Turkana and Baringo counties, KRCS supported 20 schools with fortified porridge as part of a school‑based safety net that reached about 6,120 children for one term together with their parents, coordinated through the County Steering Group to avoid duplication.",,,,,ReliefWeb Kenya,2026-06-02,"{""source_url"": ""https://reliefweb.int/report/kenya/uneven-rains-unequal-impact-drought-and-hunger-northern-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
20,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Cash and voucher assistance are coordinate through the County Steering groups and aligned with the Kenya Cash Working group guidance to avoid duplication and maximize on the impact.,,,,,ReliefWeb Kenya,2026-06-02,"{""source_url"": ""https://reliefweb.int/report/kenya/uneven-rains-unequal-impact-drought-and-hunger-northern-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
21,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"A recent example is Turkana county, where KRCS working with the County Steering Group and supported by Danish Red Cross registered 2,000 vulnerable families for cash while supporting 10 schools with food; the intervention was explicitly mapped against other partners to prevent overlap and close priority gaps.",,,,,ReliefWeb Kenya,2026-06-02,"{""source_url"": ""https://reliefweb.int/report/kenya/uneven-rains-unequal-impact-drought-and-hunger-northern-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
22,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Mobile health services in Kenya reduce the risk of stillbirths - Kenya,,,,,ReliefWeb Kenya,2026-06-04,"{""source_url"": ""https://reliefweb.int/report/kenya/mobile-health-services-kenya-reduce-risk-stillbirths"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
23,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"In the past year, WHO has supported 14 of the 47 counties in Kenya to develop a pool of facility-based mentors of emergency obstetric and newborn care, helping ensure that more women can access skilled care during pregnancy and childbirth, even in the most hard-to-reach areas.",,,,,ReliefWeb Kenya,2026-06-04,"{""source_url"": ""https://reliefweb.int/report/kenya/mobile-health-services-kenya-reduce-risk-stillbirths"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
24,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"For Additional Information or to Request Interviews, Please contact: Genna Print Communication officer WHO Kenya Tel: +254 740 466 426 Email: printg@who.int",,,,,ReliefWeb Kenya,2026-06-04,"{""source_url"": ""https://reliefweb.int/report/kenya/mobile-health-services-kenya-reduce-risk-stillbirths"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
25,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Policy Brief: Breastfeeding for Resilience and a Healthier Planet Promoting Optimal Infant Feeding Practices Across the Mandera Triangle - Kenya,,,,,ReliefWeb Kenya,2026-06-11,"{""source_url"": ""https://reliefweb.int/report/kenya/policy-brief-breastfeeding-resilience-and-healthier-planet-promoting-optimal-infant-feeding-practices-across-mandera-triangle"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
26,Security & Safety,PSA,National Security,Circular Bioeconomy Approaches for Resilient Livelihoods and Peacebuilding in Fragile and Conflict-Affected Settings - Resilient Food Systems in Fragile Contexts | Research Brief (May 2026) - Kenya,,,,,ReliefWeb Kenya,2026-06-16,"{""source_url"": ""https://reliefweb.int/report/kenya/circular-bioeconomy-approaches-resilient-livelihoods-and-peacebuilding-fragile-and-conflict-affected-settings-resilient-food-systems-fragile-contexts-research-brief-may-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
27,Security & Safety,PSA,Public Safety Awareness,"Locally Led, Adaptive Cash Assistance for Disaster-Affected Communities Across Kenya - Kenya",,,,,ReliefWeb Kenya,2026-07-01,"{""source_url"": ""https://reliefweb.int/report/kenya/locally-led-adaptive-cash-assistance-disaster-affected-communities-across-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
28,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"In this context, the Kenya Cash Consortium (KCC) plays a critical role in supporting crisis-affected communities to meet their most urgent needs, as they define and prioritise them, in a flexible, dignified manner.",,,,,ReliefWeb Kenya,2026-07-01,"{""source_url"": ""https://reliefweb.int/report/kenya/locally-led-adaptive-cash-assistance-disaster-affected-communities-across-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
29,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Chronic heat: impacts and solutions from South-East Asia and East Africa - Kenya,,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/chronic-heat-impacts-and-solutions-south-east-asia-and-east-africa"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
30,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"An additional challenge is when it’s hot, but not hot enough to trigger extreme heat warnings.",,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/chronic-heat-impacts-and-solutions-south-east-asia-and-east-africa"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
31,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),- Heat action plans should be expanded to include both response and long-term risk reduction efforts.,,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/chronic-heat-impacts-and-solutions-south-east-asia-and-east-africa"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
32,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Crisis response reveals governance differences in Kenya - Kenya,,,,,ReliefWeb Kenya,2026-06-18,"{""source_url"": ""https://reliefweb.int/report/kenya/crisis-response-reveals-governance-differences-kenya"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
33,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Statistics Infographics | May 2026 - Kenya,,,,,ReliefWeb Kenya,2026-06-10,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-statistics-infographics-may-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
34,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Health Products and Technologies Local Manufacturing Strategy 2026–2030 (June 2026) - Kenya,,,,,ReliefWeb Kenya,2026-06-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-health-products-and-technologies-local-manufacturing-strategy-2026-2030-june-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
35,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Targeted consultations with civil society organizations, non-governmental organizations, construction practitioners, the private sector, and development partners have ensured that the strategy reflects broad stakeholder consensus.",,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-launches-its-disaster-risk-financing-strategy-2026-2030"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
36,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"This work will ensure that future investments are evidence-based, economically sound, and aligned with national priorities.",,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-launches-its-disaster-risk-financing-strategy-2026-2030"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
37,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"""We must strengthen risk data and analytics to guide financial planning.",,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-launches-its-disaster-risk-financing-strategy-2026-2030"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
38,Security & Safety,PSA,Public Safety Awareness,"It establishes the National Disaster Risk Management Authority and County Disaster Risk Management Committees, tasked with coordinating response, issuing early warnings, and ensuring that resources reach affected communities in a timely manner.",,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-launches-its-disaster-risk-financing-strategy-2026-2030"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
39,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"For more information, please contact: Ms.",,,,,ReliefWeb Kenya,2026-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-launches-its-disaster-risk-financing-strategy-2026-2030"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
40,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya | Complex Emergency - 6 Month Operational Update - MDRKE068 - Kenya,,,,,ReliefWeb Kenya,2026-06-10,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-complex-emergency-6-month-operational-update-mdrke068"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
41,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Without urgent additional funding, KRCS and partners will be forced to limit coverage, shorten assistance cycles, and leave high‑risk communities without lifesaving food, water, nutrition, and health support.",,,,,ReliefWeb Kenya,2026-06-10,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-complex-emergency-6-month-operational-update-mdrke068"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
42,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),The Kenya Every Woman Every Newborn Everywhere (EWENE) Acceleration Plan | 2026-2028 - Kenya,,,,,ReliefWeb Kenya,2026-06-03,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-every-woman-every-newborn-everywhere-ewene-acceleration-plan-2026-2028"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
43,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"It is grounded in WHO normative guidance, Kenya’s EWENE scorecard priorities, and recent performance reviews, and identifies quick wins and catalytic reforms to close the most urgent gaps in quality, readiness, and equity of care.",,,,,ReliefWeb Kenya,2026-06-03,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-every-woman-every-newborn-everywhere-ewene-acceleration-plan-2026-2028"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
44,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya: Research Terms of Reference - 2026 Multi-Sectoral Needs Assessment, KEN2601 (May 2026, 01) - Kenya",,,,,ReliefWeb Kenya,2026-05-28,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-research-terms-reference-2026-multi-sectoral-needs-assessment-ken2601-may-2026-01"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
45,Security & Safety,PSA,Public Safety Awareness,Kenya | Recent floods and landslides - DG ECHO Daily Map | 07/05/2026 - Kenya,,,,,ReliefWeb Kenya,2026-05-07,"{""source_url"": ""https://reliefweb.int/map/kenya/kenya-recent-floods-and-landslides-dg-echo-daily-map-07052026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
46,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Statistics Infographics | March 2026 - Kenya,,,,,ReliefWeb Kenya,2026-05-13,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-statistics-infographics-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
47,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | September 2025 - Kenya Skip to main content Kenya + 1 more Kenya Registered refugees and asylum-seekers | September 2025 - Format - Infographic - Source - - Posted - - Originally published - - Origin - View original,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-september-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
48,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"ICRC Nairobi Regional Delegation: Facts & Figures - Activities in Kenya, Djibouti and Tanzania (January - December 2025) - Kenya",,,,,ReliefWeb Kenya,2026-05-12,"{""source_url"": ""https://reliefweb.int/report/kenya/icrc-nairobi-regional-delegation-facts-figures-activities-kenya-djibouti-and-tanzania-january-december-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
49,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya — Flow Monitoring Dashboard Round 4 (July-October 2025) - Kenya,,,,,ReliefWeb Kenya,2026-05-10,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-flow-monitoring-dashboard-round-4-july-october-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
50,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered Refugees and Asylum-Seekers | November 2025 - Kenya Skip to main content Kenya + 1 more Kenya Registered Refugees and Asylum-Seekers | November 2025 - Format - Infographic - Source - - Posted - - Originally published - - Origin - View original,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-november-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
51,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya: Solutions & Mobility Index — Tana River County (June 2025) - Kenya,,,,,ReliefWeb Kenya,2026-05-07,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-solutions-mobility-index-tana-river-county-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
52,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"SMI indicators align with the Inter-Agency Standing Committee’s (IASC) Framework for Durable Solutions and integrates data from IOM’s Displacement Tracking Matrix (DTM) to ensure a comprehensive, evidence-based approach.",,,,,ReliefWeb Kenya,2026-05-07,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-solutions-mobility-index-tana-river-county-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
53,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Building Evidence to Enhance the Welfare of Refugees and Host Communities in Kenya - Insights from Two Waves of the Kenya Longitudinal Socioeconomic Study - Kenya,,,,,ReliefWeb Kenya,2026-05-18,"{""source_url"": ""https://reliefweb.int/report/kenya/building-evidence-enhance-welfare-refugees-and-host-communities-kenya-insights-two-waves-kenya-longitudinal-socioeconomic-study"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
54,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | July 2025 - Kenya,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-july-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
55,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | July 2025 - Kenya Skip to main content Kenya + 1 more Kenya Registered refugees and asylum-seekers | July 2025 - Format - Infographic - Source - - Posted - - Originally published - - Origin - View original,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-july-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
56,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | August 2025 - Kenya,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
57,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | August 2025 - Kenya Skip to main content Kenya + 1 more Kenya Registered refugees and asylum-seekers | August 2025 - Format - Infographic - Source - - Posted - - Originally published - - Origin - View original,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-august-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
58,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | October 2025 - Kenya,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-october-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
59,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Registered refugees and asylum-seekers | October 2025 - Kenya Skip to main content Kenya + 1 more Kenya Registered refugees and asylum-seekers | October 2025 - Format - Infographic - Source - - Posted - - Originally published - - Origin - View original,,,,,ReliefWeb Kenya,2026-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-registered-refugees-and-asylum-seekers-october-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
60,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya: Solutions & Mobility Index — Mandera & Wajir Counties (December 2024 – January 2025) - Kenya,,,,,ReliefWeb Kenya,2026-05-07,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-solutions-mobility-index-mandera-wajir-counties-december-2024-january-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
61,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"The indicators for SMI align with the Inter-Agency Standing Committee’s (IASC) Framework for Durable Solutions and integrates data from IOM’s Displacement Tracking Matrix (DTM) to ensure a comprehensive, evidence-based approach.",,,,,ReliefWeb Kenya,2026-05-07,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-solutions-mobility-index-mandera-wajir-counties-december-2024-january-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
62,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"Kenya Food Security Outlook Update, April - September 2026 - Crisis (IPC Phase 3) to persist in pastoral regions, despite favorable long rains - Kenya",,,,,ReliefWeb Kenya,2026-05-07,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-food-security-outlook-update-april-september-2026-crisis-ipc-phase-3-persist-pastoral-regions-despite-favorable-long-rains"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
63,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Statistics Infographics | April 2026 - Kenya,,,,,ReliefWeb Kenya,2026-04-30,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-statistics-infographics-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
64,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Statistics Infographics | February 2026 - Kenya,,,,,ReliefWeb Kenya,2026-05-13,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-statistics-infographics-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
65,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Regional Bureau for Eastern and Southern Africa | EAC region Population of concern to UNHCR - 31 March 2026 - Kenya,,,,,ReliefWeb Kenya,2026-05-04,"{""source_url"": ""https://reliefweb.int/report/kenya/regional-bureau-eastern-and-southern-africa-eac-region-population-concern-unhcr-31-march-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
66,Security & Safety,PSA,Public Safety Awareness,"Kenya - Severe weather and floods (NOAA-CPC, media) (ECHO Daily Flash of 24 April 2026) - Kenya",,,,,ReliefWeb Kenya,2026-04-24,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-severe-weather-and-floods-noaa-cpc-media-echo-daily-flash-24-april-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
67,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),ASAL Humanitarian Network,,,,,ReliefWeb Kenya,2026-04-17,"{""source_url"": ""https://reliefweb.int/organization/asal-humanitarian-network"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
68,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),"The cost of inaction: The cost of not realizing the HIV and sexual and reproductive health and rights of young people in Kenya, Rwanda and Uganda - Kenya",,,,,ReliefWeb Kenya,2026-05-04,"{""source_url"": ""https://reliefweb.int/report/kenya/cost-inaction-cost-not-realizing-hiv-and-sexual-and-reproductive-health-and-rights-young-people-kenya-rwanda-and-uganda"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
69,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Nutritional Status of Refugees and Host children in Kenya (2025): Survey findings on child nutrition and immunization among refugee and host communities in Turkana Country and urban areas of Nairobi - Kenya,,,,,ReliefWeb Kenya,2026-04-14,"{""source_url"": ""https://reliefweb.int/report/kenya/nutritional-status-refugees-and-host-children-kenya-2025-survey-findings-child-nutrition-and-immunization-among-refugee-and-host-communities-turkana-country-and-urban-areas-nairobi"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
70,Security & Safety,PSA,Public Safety Awareness,Factsheet: The Kenya Cash Consortium Alert-Based Cash Assistance to Disaster Affected Communities in Mandera County - Baseline and Endline (February 2026) - Kenya,,,,,ReliefWeb Kenya,2026-04-16,"{""source_url"": ""https://reliefweb.int/report/kenya/factsheet-kenya-cash-consortium-alert-based-cash-assistance-disaster-affected-communities-mandera-county-baseline-and-endline-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
71,Security & Safety,PSA,Public Safety Awareness,"Factsheet: The Kenya Cash Consortium Alert-Based Cash Assistance to Disaster Affected Communities in Mandera County - Baseline and Endline (February 2026) - Kenya KEY MESSAGES • Household income and expenditure rose between baseline and endline, with the largest share spent on food and debt repayment for food.",,,,,ReliefWeb Kenya,2026-04-16,"{""source_url"": ""https://reliefweb.int/report/kenya/factsheet-kenya-cash-consortium-alert-based-cash-assistance-disaster-affected-communities-mandera-county-baseline-and-endline-february-2026"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
72,Security & Safety,PSA,Public Safety Awareness (default -- no keyword match),Kenya Statistics Infographics | December 2025 - Kenya,,,,,ReliefWeb Kenya,2026-04-14,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-statistics-infographics-december-2025"", ""collected_at"": ""2026-07-13T00:51:45.798563""}"
