PSA_ID,Domain,Class,Sub_Category,English,Source,Date,Metadata
14,Security & Safety,PSA,Public Safety Awareness,Gender Strategy on Weather and Climate Information Services in East Africa - Kenya The project focuses on the co-design and co-production of inclusive WCIS and impact-based early warning systems (IBEWS) to improve accessibility and utilization among marginalized groups.,ReliefWeb Kenya,2025-04-02,"{""source_url"": ""https://reliefweb.int/report/kenya/gender-strategy-weather-and-climate-information-services-east-africa"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
15,Security & Safety,PSA,Public Safety Awareness,"EHAGL Region: Community Feedback Analysis Report, July - September 2024 - Kenya",ReliefWeb Kenya,2025-04-07,"{""source_url"": ""https://reliefweb.int/report/kenya/ehagl-region-community-feedback-analysis-report-july-september-2024"", ""collected_at"": ""2026-07-13T00:51:45.803564""}"
16,Security & Safety,PSA,Public Safety Awareness,"Ministry of Health Press Statement (Date of Release: 8th April, 2025) - Kenya Historic Danish public-private partnership with WFP expands home-grown school meals in East Africa - Kenya Around these schools, the partnership will build an ecosystem of support that ensures the long-term sustainability of the initiative. It drives actions to urgently improve and scale up school meal programmes to ensure that every child can receive a healthy, nutritious meal in school by 2030.",ReliefWeb Kenya,2025-04-08,"{""source_url"": ""https://reliefweb.int/report/kenya/ministry-health-press-statement-date-release-8th-april-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
17,Security & Safety,PSA,Public Safety Awareness,"Climate-Smart Agriculture and Urban/Peri-Urban Agriculture in the Great Lakes Region: A Brief Literature Review - Kenya Kenya - Cholera outbreak (DG ECHO, Ministry of Health of Kenya, WHO) (ECHO Daily Flash of 09 April 2025) - Kenya",ReliefWeb Kenya,2025-04-09,"{""source_url"": ""https://reliefweb.int/report/kenya/climate-smart-agriculture-and-urbanperi-urban-agriculture-great-lakes-region-brief-literature-review"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
18,Security & Safety,PSA,Public Safety Awareness,"Kenya | Joint Market Monitoring Initiative (JMMI) Market Overview, Q4 (October - December, 2024) - Kenya Kenyan Court Delays Justice for Survivors of Post-Election Sexual Violence - Kenya Each election cycle brings fresh reminders of the trauma we suffered; the court must act before the 2027 election. Instead of offering relief or protection, the justice system, which should have been a source of support, has become another burden to bear. We urge the judiciary to prioritize this important matter.” “We urge the Judiciary of Kenya to be sensitive to the plight of survivors, where a single day’s delay is one too many,” said Grace Wangechi of Independent Medico-Legal Unit (IMLU). Justice must not only be done. And it must be felt, urgently, fully, and without compromise,” said Tina Alai, Utu Wetu Trust.",ReliefWeb Kenya,2025-04-11,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-joint-market-monitoring-initiative-jmmi-market-overview-q4-october-december-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
19,Security & Safety,PSA,Public Safety Awareness,"Adaptation in Adversity - The Impact of Drought on the Livelihood Adaptive Strategies of Refugee Youth with Physical Disabilities in Kakuma Refugee Camp, Working paper 4 - December 2024 - Kenya",ReliefWeb Kenya,2025-04-12,"{""source_url"": ""https://reliefweb.int/report/kenya/adaptation-adversity-impact-drought-livelihood-adaptive-strategies-refugee-youth-physical-disabilities-kakuma-refugee-camp-working-paper-4-december-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
20,Security & Safety,PSA,Public Safety Awareness,"Bridging policy and practice: Key insights from the Water, Peace and Climate Conference in Kenya - Kenya Several messages particularly stood out to me: - There’s an urgent need for collective action on climate security, and local communities must be at the centre of shaping solutions Dr. Monica Juma, Advisor on National Security in Kenya, described climate security as ""one of the largest public good portfolios."" Her emphasis on community-centered approaches mirrors what we've witnessed in our WPS work – solutions developed with and by local communities last longer and work better. This is why water, peace and climate security must be part of national security policies, disaster response planning, and regional cooperation agreements. But to break the silos, we must continue to enhance awareness and education at the highest levels of decision-making. - Knowledge must translate to action During our panel, I emphasized that sharing knowledge on the water, peace and security agenda must result in practical solutions that bridge the gap between policy discussions and community realities and needs. Daisy Kosgei is a Senior Project Officer at International Alert Kenya and the Horn of Africa that implements the Water, Peace and Security partnership work in Kenya.",ReliefWeb Kenya,2025-04-14,"{""source_url"": ""https://reliefweb.int/report/kenya/bridging-policy-and-practice-key-insights-water-peace-and-climate-conference-kenya"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
21,Security & Safety,PSA,Public Safety Awareness,"UK Parliamentarians conclude study tour to Kenya aimed at gaining insights into global sexual and reproductive health and rights - Kenya About UNFPA UNFPA is the United Nations sexual and reproductive health agency, working to ensure every pregnancy is wanted, every childbirth is safe, and every young person’s potential is fulfilled. Kenya: Don Bosco Center Makuyu renovates facilities thanks to donor funding from Salesian Missions - Kenya",ReliefWeb Kenya,2025-04-15,"{""source_url"": ""https://reliefweb.int/report/kenya/uk-parliamentarians-conclude-study-tour-kenya-aimed-gaining-insights-global-sexual-and-reproductive-health-and-rights"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
22,Security & Safety,PSA,Public Safety Awareness,"Kenya: Scholarships help vulnerable students complete secondary education - Kenya Scholarship recipients also receive mentoring services to help ensure they successfully complete secondary education. Applications were reviewed by Kenya’s Community Scholars Advisory Committee at locations throughout the country. In the future, I want to be a surgeon.",ReliefWeb Kenya,2025-04-16,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-scholarships-help-vulnerable-students-complete-secondary-education"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
23,Security & Safety,PSA,Public Safety Awareness,"Kenya - Floods (DG ECHO, media, Kenya Meteorological Department) (ECHO Daily Flash of 23 April 2025) - Kenya",ReliefWeb Kenya,2025-04-23,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-floods-dg-echo-media-kenya-meteorological-department-echo-daily-flash-23-april-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
24,Security & Safety,PSA,Public Safety Awareness,World Malaria Day: preventing deaths among refugee children in Kenya - Kenya,ReliefWeb Kenya,2025-04-25,"{""source_url"": ""https://reliefweb.int/report/kenya/world-malaria-day-preventing-deaths-among-refugee-children-kenya"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
25,Security & Safety,PSA,Public Safety Awareness,"Kenya, Garissa and Turkana Counties: Addressing water and sanitation challenges for schools and health facilities (November 2024) - Kenya",ReliefWeb Kenya,2025-04-28,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-garissa-and-turkana-counties-addressing-water-and-sanitation-challenges-schools-and-health-facilities-november-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
26,Security & Safety,PSA,Public Safety Awareness,Nairobi County Refugee Integration and Community Building Strategy - Kenya,ReliefWeb Kenya,2025-04-29,"{""source_url"": ""https://reliefweb.int/report/kenya/nairobi-county-refugee-integration-and-community-building-strategy"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
27,Security & Safety,PSA,Public Safety Awareness,"By registering all 138,000 refugee and asylum-seeker households into a unified government database, the ESR operationalizes the Shirika Plan’s vision to transition camps into integrated settlements through socio-economic inclusion and data-driven governance.",ReliefWeb Kenya,2025-04-30,"{""source_url"": ""https://reliefweb.int/report/kenya/wfp-kenya-country-brief-april-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
28,Security & Safety,PSA,Public Safety Awareness,"IRC Re:BUILD - Wave 1 RCT Research Brief - May 2025: Benefits of cash alone and cash+mentorship for Kenyan and refugee microentrepreneurs in Nairobi, Kenya - Kenya IRC Re:BUILD - Policy Brief: Access To Decent Work - A Pathway To Durable Solutions For Urban Refugees - Kenya Presentation - Supporting refugee self-reliance through large cash transfers - May 2025 - Kenya",ReliefWeb Kenya,2025-05-08,"{""source_url"": ""https://reliefweb.int/report/kenya/irc-rebuild-wave-1-rct-research-brief-may-2025-benefits-cash-alone-and-cashmentorship-kenyan-and-refugee-microentrepreneurs-nairobi-kenya"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
29,Security & Safety,PSA,Public Safety Awareness,Urban Refugee Policies and Legislation in Kenya and Uganda: 2025 Stocktake - Kenya,ReliefWeb Kenya,2025-05-12,"{""source_url"": ""https://reliefweb.int/report/kenya/urban-refugee-policies-and-legislation-kenya-and-uganda-2025-stocktake"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
30,Security & Safety,PSA,Public Safety Awareness,"Toward a Shared Future: Advancing Refugee Integration in Kenya - Kenya Strikingly, over half of these individuals were children, underscoring the urgency of sustainable, child-focused solutions. What I witnessed was not just hardship; it was a haunting reminder of the world’s failure to protect refugees.” In the camps, refugees live in overcrowded shelters, many made of tarps and tin. As implementation of the Shirika Plan begins and sets out to address the needs of refugees and host communities, refugee voices must be included and at the center of dialogue and action. For inquiries, please contact: policy@refugees.org",ReliefWeb Kenya,2025-05-13,"{""source_url"": ""https://reliefweb.int/report/kenya/toward-shared-future-advancing-refugee-integration-kenya"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
31,Security & Safety,PSA,Public Safety Awareness,"Severe droughts in Kenya drive child marriage, increasing the risk of modern slavery - Kenya Climate change is worsening exploitation, highlighting the urgent need for stronger protections. Urgent action is needed to protect women and girls from exploitation The increasing frequency of extreme weather events is deepening gender inequalities, pushing women and girls further into modern slavery. Walk Free’s Global Slavery Index highlights the urgent need for targeted interventions to protect vulnerable populations, including: - Expanding social safety nets to support vulnerable families and prevent child marriage. As climate change accelerates, protecting women and girls from modern slavery must be a priority in global adaptation responses. Despite these eorts, the crisis underscored the urgent need for sustainable solutions. Everyday Heroes Leading the Fight Against Hunger - Kenya We register them in our malnutrition register, enroll them in our outpatient therapeutic or supplementary feeding program, administer deworming medication, and collaborate with community health promoters to monitor their progress”, she says. Action Against Hunger supported her with a water tank to store rainwater and installed a bio-sand water filtration system in the community to ensure clean water access.",ReliefWeb Kenya,2025-05-15,"{""source_url"": ""https://reliefweb.int/report/kenya/severe-droughts-kenya-drive-child-marriage-increasing-risk-modern-slavery"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
32,Security & Safety,PSA,Public Safety Awareness,"Weekly Bulletin on Outbreaks and Other Emergencies: Week 20: 12 -18 May 2025 (Data as reported by: 17:00; 18 May 2025) - Kenya Additionally, enhancing the diagnostic capacity of sub-national laboratories and strengthening healthcare worker training on Mpox identification and case management are critical areas requiring urgent attention.",ReliefWeb Kenya,2025-05-18,"{""source_url"": ""https://reliefweb.int/report/kenya/weekly-bulletin-outbreaks-and-other-emergencies-week-20-12-18-may-2025-data-reported-1700-18-may-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
33,Security & Safety,PSA,Public Safety Awareness,"MSF Responds to Surge in Kala-azar cases in Wajir and Marsabit Counties in Kenya - Kenya MSF Responds to Surge in Kala-azar cases in Wajir and Marsabit Counties in Kenya - Kenya Since late 2024, Marsabit and Wajir counties, in the arid north-eastern region of Kenya, have been experiencing a significant surge in cases of Kala-azar, also known as Visceral Leishmaniasis. This shortage severely hindered timely treatment and control of the disease in the affected communities at the start of the surges. Health care workers not always knowing how to diagnose reduced the capacity to respond quickly at the initial stages of the surges leading to untimely loss of lives” said Hussein Mohammed, acting neglected tropical disease coordinator in Wajir County. A call for greater attention and resources for neglected tropical diseases “This outbreak is a reminder that neglected diseases do not just affect health, they expose deep inequalities in healthcare access,” reiterates Maureen Muchanga, MSF medical team lead in Wajir. “Without proper vector control, accurate diagnosis, affordable treatment, and enough trained healthcare workers, kala azar detection and care remain delayed and difficult with human cost.” The surges in Wajir and Marsabit have once again shown the human impact of neglected diseases.",ReliefWeb Kenya,2025-05-20,"{""source_url"": ""https://reliefweb.int/report/kenya/msf-responds-surge-kala-azar-cases-wajir-and-marsabit-counties-kenya"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
34,Security & Safety,PSA,Public Safety Awareness,"Project Brief: Enhancing Soil Health and Agroecology in Kenya - May 2025 - Kenya Kenya launches 'Early Warnings for All' initiative to enhance disaster preparedness - Kenya Kenya launches 'Early Warnings for All' initiative to enhance disaster preparedness - Kenya Nairobi, Kenya - May 21, 2025 - Today, Kenya officially took a major step towards protecting lives and livelihoods from disasters through its national launch of the Early Warnings for All (EW4All) initiative. The launch of EW4All in Kenya underscores the urgent need to shift from reactive disaster response to proactive anticipatory action, while ensuring that no one is left behind when disasters strike. Let us therefore unite, collaborate, engage, and build an Early Warning System in Kenya that will reduce loss of life and livelihoods, bolster food security, and build a more resilient Kenya for generations to come"". She also announced that ""5 percent of the national Disaster Risk Management budget will be allocated to upgrading early warning systems across all relevant institutions"". Kenya is not new to early warning systems and has been making notable progress in advancing this work. To strengthen inclusive early warning in the country, the workshop will provide a platform to coordinate efforts, strengthen disaster governance, and enhance Kenya's capacity for real-time monitoring and forecasting of natural hazards. Early warning systems are among the most effective measures for reducing disaster risks and building resilience.",ReliefWeb Kenya,2025-05-21,"{""source_url"": ""https://reliefweb.int/report/kenya/project-brief-enhancing-soil-health-and-agroecology-kenya-may-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
35,Security & Safety,PSA,Public Safety Awareness,"Kenya steps up national cholera preparedness and response - Kenya Community health promoters have visted her, checking on her recovery and educating her family and neighbours on using water purification tablets, proper handwashing, avoiding cold food and maintaining hygiene at food preparation areas and toilets. Refugees in Kenya at risk of worsening hunger as WFP faces critical funding shortfall - Kenya A GAM rate over 10 percent is classed as a nutrition emergency, particularly in refugee settings, meaning urgent intervention is required to prevent life-threatening complications from malnutrition. “Food assistance is a vital safety net, and we remain committed to doing all we can to support refugees who are trying to rebuild their lives in safety.” WFP urgently requires US$44 million to provide full rations and restore cash assistance for all refugees through August. Follow us on X, formerly Twitter, via @wfp_media @wfp_africa @wfp_kenya For more information please contact (email address: firstname.lastname@wfp.org): Mercy Juma, WFP/ Nairobi; Tel: +254 704 723 762",ReliefWeb Kenya,2025-05-22,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-steps-national-cholera-preparedness-and-response"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
36,Security & Safety,PSA,Public Safety Awareness,"Lancet research finds glasses still out of reach for millions of people - Kenya Dr May Ho, Optometry and Primary Care Advisor at The Fred Hollows Foundation, said the findings reflect that not enough was being done to address persistent and preventable inequity. “We are working to change this, but without urgent, coordinated action across governments, global institutions, philanthropy and the private sector, the most disadvantaged people will continue to be left behind.",ReliefWeb Kenya,2025-05-23,"{""source_url"": ""https://reliefweb.int/report/kenya/lancet-research-finds-glasses-still-out-reach-millions-people"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
37,Security & Safety,PSA,Public Safety Awareness,CADIS and Tzu Chi Deliver Relief to Flood-Hit Communities in Kenya - Kenya,ReliefWeb Kenya,2025-05-26,"{""source_url"": ""https://reliefweb.int/report/kenya/cadis-and-tzu-chi-deliver-relief-flood-hit-communities-kenya"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
38,Security & Safety,PSA,Public Safety Awareness,"Kisumu County sought assistance for cholera control on 2 May and flood response on 14 May, following earlier appeals including a public notice by the Cabinet Secretary for Health. Following further floods alerts, on 16 May, the government ordered evacuations in Tana River and Garissa after Kiambere Dam overflowed and KRCS was called to support as well. In parallel, both the upsurge of cases and death for cholera and Leishmaniasis pose a serious threat to the communities in the past quarter.",ReliefWeb Kenya,2025-05-27,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-flood-and-cholera-outbreak-2025-dref-operation-appeal-mdrke066"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
39,Security & Safety,PSA,Public Safety Awareness,Kenya – Flow Monitoring Dashboard Round 3 (January-March 2025) - Kenya,ReliefWeb Kenya,2025-05-28,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-flow-monitoring-dashboard-round-3-january-march-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
40,Security & Safety,PSA,Public Safety Awareness,Kenya – Solutions and Mobility Index – Turkana and Garissa counties (September - November 2024) - Kenya,ReliefWeb Kenya,2025-05-31,"{""source_url"": ""https://reliefweb.int/report/kenya/kenya-solutions-and-mobility-index-turkana-and-garissa-counties-september-november-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
41,Security & Safety,PSA,Public Safety Awareness,Enhancing reproductive health services through on-site mentorship in Kenya - Kenya,ReliefWeb Kenya,2025-06-01,"{""source_url"": ""https://reliefweb.int/report/kenya/enhancing-reproductive-health-services-through-site-mentorship-kenya"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
42,Security & Safety,PSA,Public Safety Awareness,Between drought and deluge: the fragility of ‘resilience’ in Kakuma Refugee Camp - Kenya,ReliefWeb Kenya,2025-06-03,"{""source_url"": ""https://reliefweb.int/report/kenya/between-drought-and-deluge-fragility-resilience-kakuma-refugee-camp"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
43,Security & Safety,PSA,Public Safety Awareness,"Regional Report 2024: Regional Program on Enhancing the Investment Climate for the Economic Empowerment of Refugee, Returnee and Host/Return Community Women in the East and Horn of Africa and Great Lakes Region - Kenya Strengthening Quality of Healthcare in Refugee Camps: Tracking the ISO 15189:2022 Accreditation Journey of Ammusait General Level 4 Hospital Laboratory in Kakuma - Kenya Ammusait has a bed capacity of 180, which, at times, is stretched beyond capacity and can reach up to 300 admissions during surges. This collaboration ensured alignment with best practices and strengthened community health responses, particularly in addressing COVID-19 and routine healthcare needs. Annex: Roadmap 2024 -Regional Program on Enhancing the Investment Climate for the Economic Empowerment of Refugee, Returnee and Host/Return Community Women in the East and Horn of Africa and Great Lakes Region - Kenya",ReliefWeb Kenya,2025-06-04,"{""source_url"": ""https://reliefweb.int/report/kenya/regional-report-2024-regional-program-enhancing-investment-climate-economic-empowerment-refugee-returnee-and-hostreturn-community-women-east-and-horn-africa-and-great-lakes-region"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
44,Security & Safety,PSA,Public Safety Awareness,‘Consensual’ Women Trafficking in Kenya: Can Intersectional Feminism Provide a Solution? - Kenya,ReliefWeb Kenya,2025-06-05,"{""source_url"": ""https://reliefweb.int/report/kenya/consensual-women-trafficking-kenya-can-intersectional-feminism-provide-solution"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
45,Security & Safety,PSA,Public Safety Awareness,"Recurring Fire Tragedies in Kenya, from Reaction to Prevention - Kenya",ReliefWeb Kenya,2025-06-09,"{""source_url"": ""https://reliefweb.int/report/kenya/recurring-fire-tragedies-kenya-reaction-prevention"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
46,Security & Safety,PSA,Public Safety Awareness,Efficiency Gains in Cash and Voucher Assistance (CVA) in Eastern Africa: Examples from Kenya and Uganda - Kenya,ReliefWeb Kenya,2025-06-10,"{""source_url"": ""https://reliefweb.int/report/kenya/efficiency-gains-cash-and-voucher-assistance-cva-eastern-africa-examples-kenya-and-uganda"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
47,Security & Safety,PSA,Public Safety Awareness,"Research Briefs: Results From Re:BUiLD’s Wave 1 Randomized Control Trials (RCTs) On Mentorship And Cash Grants For Microentrepreneurs in Nairobi, Kenya and Kampala, Uganda - Kenya",ReliefWeb Kenya,2025-06-11,"{""source_url"": ""https://reliefweb.int/report/kenya/research-briefs-results-rebuilds-wave-1-randomized-control-trials-rcts-mentorship-and-cash-grants-microentrepreneurs-nairobi-kenya-and-kampala-uganda"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
48,Security & Safety,PSA,Public Safety Awareness,Solutions Brief: Community Advocacy Champions - Kenya,ReliefWeb Kenya,2025-06-13,"{""source_url"": ""https://reliefweb.int/report/kenya/solutions-brief-community-advocacy-champions"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
49,Security & Safety,PSA,Public Safety Awareness,Dadaab and Kakuma Refugee Camp in Kenya | Joint Market Monitoring Initiative (JMMI) Q4 (October - December 2024) - Kenya,ReliefWeb Kenya,2025-06-17,"{""source_url"": ""https://reliefweb.int/report/kenya/dadaab-and-kakuma-refugee-camp-kenya-joint-market-monitoring-initiative-jmmi-q4-october-december-2024"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
50,Security & Safety,PSA,Public Safety Awareness,GIEWS Country Brief: Kenya 18-June-2025 - Kenya,ReliefWeb Kenya,2025-06-19,"{""source_url"": ""https://reliefweb.int/report/kenya/giews-country-brief-kenya-18-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
51,Security & Safety,PSA,Public Safety Awareness,CGD Policy Paper 358 - Urban Refugee Policies and Legislation in Kenya and Uganda: 2025 Stocktake - May 2025 - Kenya,ReliefWeb Kenya,2025-06-20,"{""source_url"": ""https://reliefweb.int/report/kenya/cgd-policy-paper-358-urban-refugee-policies-and-legislation-kenya-and-uganda-2025-stocktake-may-2025"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
52,Security & Safety,PSA,Public Safety Awareness,TOR: Kenya Environmentally Sustainable Logistics Working Group (WREC) - Kenya,ReliefWeb Kenya,2025-06-24,"{""source_url"": ""https://reliefweb.int/report/kenya/tor-kenya-environmentally-sustainable-logistics-working-group-wrec"", ""collected_at"": ""2026-07-13T00:51:45.802566""}"
53,Security & Safety,PSA,Public Safety Awareness,"Starvation closing in: Urgent help needed in Kenya’s refugee camps - Kenya Starvation closing in: Urgent help needed in Kenya’s refugee camps - Kenya The U.S. Should this continue, refugees in Kenya will face the specter of a widespread, man-made famine. They are now left to languish in open-air prisons.” WFP warns that August brings an additional wave of uncertainty if the agency does not receive immediate funding. The agency states that it urgently requires 44 million USD to provide full rations and cash assistance for all refugees in Kenya through August.",ReliefWeb Kenya,2025-06-25,"{""source_url"": ""https://reliefweb.int/report/kenya/starvation-closing-urgent-help-needed-kenyas-refugee-camps"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
54,Security & Safety,PSA,Public Safety Awareness,"The exercise successfully registered 138,056 households (828,331 individuals) into the ESR.",ReliefWeb Kenya,2025-06-27,"{""source_url"": ""https://reliefweb.int/report/kenya/wfp-kenya-country-brief-may-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
55,Security & Safety,PSA,Public Safety Awareness,"IRC Re:BUILD - Policy Brief: The Impact of Cash Grants and Cash + Mentorship on Kenyan and Refugee Business Owners in Nairobi, Kenya - June 2025 - Kenya Reaching Last Mile with Early Warning Information for Anticipatory Action - Kenya Reaching Last Mile with Early Warning Information for Anticipatory Action - Kenya In 2024, World Vision (WV) implemented a pilot project on Anticipatory Action (AA) in Marsabit County, Kenya, focusing on communities where WV has ongoing long-term development programming. Kenya: Registered refugees and asylum-seekers (as of 30 June 2025) - Kenya",ReliefWeb Kenya,2025-06-30,"{""source_url"": ""https://reliefweb.int/report/kenya/irc-rebuild-policy-brief-impact-cash-grants-and-cash-mentorship-kenyan-and-refugee-business-owners-nairobi-kenya-june-2025"", ""collected_at"": ""2026-07-13T00:51:45.801564""}"
