PSA_ID,Domain,Sub_Category,English,Notice_Style,Source,Date,Metadata
11,Governance,Public Service Delivery,121B) ------------------ NATIONAL AUTHORITY FOR THE CAMPAIGN AGAINST IN Gazette Notice No.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
12,Governance,Public Service Delivery,APPOINTMENT ------------------ IN EXERCISE of the powers conferred by section 6 (1) (h) of the IN Gazette Notice No.,TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
13,Governance,Public Service Delivery,"E87 of 2025, National Authority for the Campaign Against Alcohol and Drug Abuse amend the petitioner’s name printed as “Duncan Mulwa Mutambu” to Act, the Cabinet Secretary for Interior and National Administration read “Jane Mutua”.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
14,Governance,Public Service Delivery,appoints— ------------------ BENJAMIN KIPRONO KUTTOH IN Gazette Notice No.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
15,Governance,Public Service Delivery,Cabinet Secretary for Interior and National Administration.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
16,Governance,Public Service Delivery,"E235 of 2025, GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
17,Governance,Public Service Delivery,1005 APPOINTMENT THE STATE CORPORATIONS ACT IN EXERCISE of the powers conferred by section 10 of the (Cap.,TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
18,Governance,Public Service Delivery,"446) Military Veterans Act, the Defence Council appoints— STATE CORPORATIONS ADVISORY COMMITTEE Under paragraph (2) (b) – RE-APPOINTMENT Brig (Rtd.) Isaac Njoroge Muchendu, Brig (Rtd.) Hosea Abinya Oduor, IN EXERCISE of the powers conferred by section 26 (1) (e) of the State Corporations Act, I, William Samoei Ruto, President of the Under paragraph (2) (c) – Republic of Kenya and Commander-in-Chief of the Defence Forces, re-appoint— Lt.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
19,Governance,Public Service Delivery,"ROSELINDA SOIPAN TUYA, Cabinet Secretary for Defence and Chairperson of the Defence Council.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
20,Governance,Public Service Delivery,1006 SUPREME COURT OF KENYA GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
21,Governance,Public Service Delivery,"10 of 2012) 5 and 7 of the Supreme Court Rules 2020; the Chief Justice gives notice as follows: THE KENYA DEPOSIT INSURANCE CORPORATION The Supreme Court Easter recess will commence on Thursday RE-APPOINTMENT 26th March, 2026, and terminate on Wednesday 8th April, 2026 both IN EXERCISE of the powers conferred by section 7 (1) (d) of the days inclusive.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
22,Governance,Public Service Delivery,"Kenya Deposit Insurance Act, 2012, the Cabinet Secretary for the The duty Judge will be available during recess to deal with urgent National Treasury and Economic Planning re-appoints— matters.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
23,Governance,Public Service Delivery,"JOHN MBADI NG’ONGO, Cabinet Secretary, The National Treasury and Economic Planning.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
24,Governance,Public Service Delivery,1013 THE UNIVERSITIES ACT GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
25,Governance,Public Service Delivery,"JULIUS MIGOS OGAMBA, Cabinet Secretary for Education.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
26,Governance,Public Service Delivery,"10106/25 JOHN MBADI NG’ONGO, Cabinet Secretary, The National Treasury and Economic Planning.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
27,Governance,Public Service Delivery,1014 THE UNIVERSITIES ACT GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
28,Governance,Public Service Delivery,"GEORGE KINGORI GATHOGO JULIUS MIGOS OGAMBA, Cabinet Secretary for Education.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
29,Governance,Public Service Delivery,"WYCLIFFE AMBETSA OPARANYA, GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
30,Governance,Public Service Delivery,"1015 Cabinet Secretary for Co-operatives and THE UNIVERSITIES ACT Micro, Small and Medium Enterprises (MSMEs) Development.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
31,Governance,Public Service Delivery,42 of 2012) KOITALEEL SAMOEI UNIVERSITY COLLEGE GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
32,Governance,Public Service Delivery,1012 APPOINTMENT THE UNIVERSITIES ACT IN EXERCISE of the powers conferred by section 36 (1) (d) of the (Cap.,TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
33,Governance,Public Service Delivery,"210) Universities Act, the Cabinet Secretary for Education appoints— TOM MBOYA UNIVERSITY JOSEPH TUIKONG ROTICH APPOINTMENT to be a member of the Council of the Koitaleel Samoei University IN EXERCISE of the powers conferred by section 36 (1) of the College, for a period of three (3) years, with effect from the 30th Universities Act, the Cabinet Secretary for Education appoints— January, 2026.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
34,Governance,Public Service Delivery,"Maena (Pr.), JULIUS MIGOS OGAMBA, Cabinet Secretary for Education.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
35,Governance,Public Service Delivery,"303802 81 7 THE KENYA GAZETTE 30th January, 2026 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
36,Governance,Public Service Delivery,84) MACHAKOS UNIVERSITY AMENDMENT OF GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
37,Governance,Public Service Delivery,"9089 OF 2021 REVOCATION OF APPOINTMENT IN EXERCISE of the powers conferred by section 40 (1) of the IN EXERCISE of the powers conferred by section 36 (1) (d) of the National Police Service Act, the Inspector-General amends the Universities Act, as read together with section 51 (1) of the Schedule to Gazette Notice No.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
38,Governance,Public Service Delivery,"9089 of 2021 in the manner set out in Interpretation and General Provisions Act, the Cabinet Secretary for the Schedule.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
39,Governance,Public Service Delivery,"Education revokes the appointment of— SCHEDULE Stella Oyiego (Dr.), Hamadi Musa Garashi, In item 3, delete the word “Kiambu” appearing in the second column and substitute therefor with the word “Murang’a.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
40,Governance,Public Service Delivery,Region County Sub Police Post Map Coordinates APPOINTMENT County IN EXERCISE of the powers conferred by section 5 (1) of the 1.,TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
41,Governance,Public Service Delivery,"Ny anza Kisumu Kisumu Otonglo -0.075722,34.698351 Eldoret National Polytechnic Order, the Cabinet Secretary for West Police Post Education appoints— 2.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
42,Governance,Public Service Delivery,"JULIUS MIGOS OGAMBA, DOUGLAS KANJA KIROCHO, Cabinet Secretary for Education.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
43,Governance,Public Service Delivery,"14 of 2022) IN EXERCISE of the powers conferred by section 40 (1) of the THE KENYA NATIONAL PUBLIC HEALTH INSTITUTE National Police Service Act, 2011, the Inspector-General designate various establishments particulars of which are set out in the Schedule APPOINTMENT hereto to be Police Stations or Posts for the purpose of this Act.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
44,Governance,Public Service Delivery,"IN EXERCISE of the powers conferred by paragraph 6 (1) (g) of SCHEDULE the Kenya National Public Health Institute Order, 2022, the Cabinet Secretary for Health appoints— DESIGNATED POLICE STATIONS PATRISIO NJIRU NJERU (DR.) S/No.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
45,Governance,Public Service Delivery,"ADEN DUALE, Cabinet Secretary for Health.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
46,Governance,Public Service Delivery,"30th January, 2026 THE KENYA GAZETTE 309 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
47,Governance,Devolution and Local Governance,"1022 sections 6, 34 and 36 of the County Government Act, No.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
48,Governance,Public Service Delivery,"17 of 2012 and section 26 of Intergovernmental Relations Act, Cap.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
49,Governance,Devolution and Local Governance,"265F; that the THE HIGH COURT (ORGANIZATION National Government through the Ministry of Education and the AND ADMINISTRATION) ACT County Government of Uasin Gishu have entered into an Intergovernmental Partnership Agreement dated the 13th of May, (No.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
50,Governance,Devolution and Local Governance,"NOMINATION The objective of this Agreement is to: IN EXERCISE of the powers conferred by section 23 (2) (b) of the High Court (Organization and Administration) Act, the Principal (a) Provide for a structural framework for partnership between Judge of the High Court nominates— the National Government and the County Government in issuance of bursaries and scholarship, HON.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
51,Governance,Public Service Delivery,"JUSTICE ANTHONY KIMANI NDUNG'U (b) Promote transparency and accountability in the utilization and Presiding Judge of the Nanyuki High Court, as a member of the High management of bursaries and scholarships in the education Court Advisory Committee, for a period of three (3) years, with effect sector, from the 22nd January, 2026.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
52,Governance,Public Service Delivery,"27 of 2015) The Ministry of Education, Science and Technology, Jogoo House B, Harambee Avenue, NOMINATION P.O.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
53,Governance,Devolution and Local Governance,"High Court (Organization and Administration) Act, the Principal Judge of the High Court nominates— Office of the County Secretary, County Government of Uasin Gishu, HON.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
54,Governance,Devolution and Local Governance,"JONATHAN BII CHELILIM, (DR.) JUSTICE ERIC OGOLA, MR/8091188 Governor, Uasin Gishu County.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
55,Governance,Devolution and Local Governance,"27 of 2015) URBAN AREAS AND CITIES (AMENDMENT) ACT, 2019, NOMINATION THE COUNTY GOVERNMENTS ACT IN EXERCISE of the powers conferred by section 23 (2) (b) of the (Cap.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
56,Governance,Devolution and Local Governance,"265) High Court (Organization and Administration) Act, the Principal Judge of the High Court nominates— COUNTY GOVERNMENT OF UASIN GISHU HON.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
57,Governance,Devolution and Local Governance,"Schedule of the said Act, the County Government of Uasin Gishu has JUSTICE ERIC OGOLA, transferred all the under-listed functions and powers to the Board of Principal Judge, High Court.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
58,Governance,Public Service Delivery,ALL the resources currently used in performing the said functions GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
59,Governance,Devolution and Local Governance,"The City of THE CONSTITUTION OF KENYA Eldoret shall offer all the functions listed below that is to say:- THE COUNTY GOVERNMENT ACT (a) Promote, regulate and provide mechanisms for refuse (Cap.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
60,Governance,Public Service Delivery,"265) collection and recycling, solid waste management services, general sanitation and controlling all forms of nuisance; THE INTERGOVERNMENTAL RELATIONS ACT (b) Subject to existing laws, promote and provide water and (Cap.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
61,Governance,Public Service Delivery,(o) Develop and enforce municipal plans and development controls; GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
62,Governance,Devolution and Local Governance,(v) Any other function as may be delegated or assigned by the County Executive Committee or County Assembly Legislation.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
63,Governance,Devolution and Local Governance,"300) MR/8091203 Governor, Uasin Gishu County.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
64,Governance,Public Service Delivery,"ISSUE OF CERTIFICATE OF LEASE WHEREAS Hilary Mutembei Mujwa, is registered as proprietor of leasehold ownership interest of that piece of land containing 0.0225 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
65,Governance,Public Service Delivery,"12715/9162, situate in Mavoko Municipality in Machakos GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
66,Governance,Public Service Delivery,"to show that the said certificate of lease has been lost, notice is given 30th January, 2026 THE KENYA GAZETTE 311 that after the expiration of sixty (60) days from the date hereof, I shall GAZETTE NOTICE NO.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
67,Governance,Public Service Delivery,"Box 10027–00400, Nairobi in the Republic of Kenya, are registered as proprietors of all that piece of land known as GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
68,Governance,Public Service Delivery,"sufficient evidence has been adduced to show that the said certificate of title has been lost or misplaced, notice is given that after the expiration of sixty (60) days from the date hereof, I shall issue a new GAZETTE NOTICE NO.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
69,Governance,Public Service Delivery,"Box 1431–00618, Nairobi in the Republic of Kenya, is registered as proprietor of all that GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
70,Governance,Public Service Delivery,"Nganga (deceased), the registered as proprietor of all that piece of land, situate in the city of Nairobi in the Nairobi Area, registered under Gazette Notice No.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
71,Governance,Public Service Delivery,"330/327, by virtue of an indenture, registered as Volume N38, Folio 413/10, File 12040, and whereas sufficient evidence has been adduced to show that the said indenture issued thereof has been GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
72,Governance,Public Service Delivery,"20892/194, situate in north west of MAchakos Municipality in the Machakos District, by virtue of a GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
73,Governance,Public Service Delivery,"209/379/5, by virtue of an indenture, registered as Volume N47, Folio 119/22, File 1826, and whereas sufficient evidence has GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
74,Governance,Public Service Delivery,"12882/25, situate in the city 313212 21 7 THE KENYA GAZETTE 30th January, 2026 of Nairobi in the Nairobi Area, by virtue of a certificate of title, GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
75,Governance,Public Service Delivery,"90610/1, and whereas sufficient evidence has been adduced to show that the said certificate of title has been lost, notice is given that after the expiration of sixty (60) days from the date hereof, I GAZETTE NOTICE NO.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
76,Governance,Public Service Delivery,"14867/I/MN, containing 0.0300 hectare or thereabouts, GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
77,Governance,Public Service Delivery,"2259/724, and whereas sufficient evidence has been adduced to show that the said certificate of title has been lost, notice is given that after the expiration of sixty (60) days from the date hereof, I GAZETTE NOTICE NO.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
78,Governance,Public Service Delivery,"WHEREAS Benjamin Robosi Wafula (ID/0129127), is registered as proprietor of all that piece of land, situate in Uasin Gishu County, known as Soy/Soy Block 10 Navillus)/223, by virtue of a title deed, GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
79,Governance,Public Service Delivery,"deed, and whereas sufficient evidence has been adduced to show that 30th January, 2026 THE KENYA GAZETTE 313 the said land title deed issued thereof has been lost, notice is given that GAZETTE NOTICE NO.",TRUE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
80,Governance,Public Service Delivery,"South Teso/Angoromo/4356, situate in Busia County, and whereas sufficient evidence has been adduced to show that the said GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
81,Governance,Public Service Delivery,"Box 84–5100, Mumias in the Republic of Kenya, is registered as proprietor in absolute ownership interest of all that piece of land situate in Kakamega GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
82,Governance,Public Service Delivery,300) ISSUE OF A REPLACEMENT TITLE GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
83,Governance,Public Service Delivery,1048 THE LAND REGISTRATION ACT GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
84,Governance,Public Service Delivery,"313412 41 7 THE KENYA GAZETTE 30th January, 2026 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
85,Governance,Public Service Delivery,"30th January, 2026 THE KENYA GAZETTE 315 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
86,Governance,Public Service Delivery,"313612 61 7 THE KENYA GAZETTE 30th January, 2026 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
87,Governance,Public Service Delivery,"30th January, 2026 THE KENYA GAZETTE 317 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
88,Governance,Public Service Delivery,"313812 81 7 THE KENYA GAZETTE 30th January, 2026 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
89,Governance,Public Service Delivery,1087 THE LAND REGISTRATION ACT GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
90,Governance,Public Service Delivery,"30th January, 2026 THE KENYA GAZETTE 319 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
91,Governance,Public Service Delivery,"323022 01 7 THE KENYA GAZETTE 30th January, 2026 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
92,Governance,Public Service Delivery,1103 THE LAND REGISTRATION ACT GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
93,Governance,Public Service Delivery,"30th January, 2026 THE KENYA GAZETTE 321 GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
94,Governance,Public Service Delivery,1110 THE LAND REGISTRATION ACT GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
95,Governance,Public Service Delivery,RECONSTRUCTION OF LOST OR DESTROYED LAND REGISTER WHEREAS (1) Maria Achieng Ocharo and (2) Juliet Adoyo GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
96,Governance,Public Service Delivery,300) RECONSTRUCTION OF LOST OR DESTROYED LAND REGISTER GAZETTE NOTICE NO.,FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
97,Governance,Public Service Delivery,"323222 21 7 THE KENYA GAZETTE 30th January, 2026 proprietor has indemnified the Government of the Republic of Kenya GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
98,Governance,Public Service Delivery,"ownership interest of all that piece of land containing 0.9100 hectare or thereabouts, known as Molo South/Ikumbi Block 7/101 (Mutukanio Tebere), situate in the district of Nakuru, and whereas sufficient GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
99,Governance,Public Service Delivery,"209/362/7, situate in the city of Nairobi in the Nairobi Area, by virtue of an indenture of GAZETTE NOTICE NO.",FALSE,KenyaGazette,7/14/2026,https://new.kenyalaw.org/akn/ke/officialGazette/2026-01-30/19/eng@2026-01-30
