Category,English
health,"Drinking alcohol is associated with risks of developing noncommunicable diseases such as liver diseases, heart diseases, and different types of cancers, as well as mental health and behavioural conditions such as depression, anxiety and alcohol use disorders."
health,A causal relationship has been established between alcohol use and the incidence or outcomes of infectious diseases such as tuberculosis and HIV.
health,"Achieving a reduction in the harmful use of alcohol in line with the targets included in the Global alcohol action plan, the SDG 2030 agenda and the WHO Global monitoring framework for noncommunicable diseases, requires concerted action by countries and effective global governance."
health,Public policies and interventions to prevent and reduce alcohol-related harm should be guided and formulated by public health interests and based on clear public health goals and the best available evidence.
health,"Engaging all relevant stakeholders is essential but the potential conflicts of interest, particularly with the alcohol industry, must be carefully assessed before engagement."
health,"Economic operators should refrain from activities that might prevent, delay or stop the development, enactment, implementation and enforcement of high-impact strategies and interventions to reduce the harmful use of alcohol."
health,"WHO estimates that in 2019, some 68% of outdoor air pollution related premature deaths were due to ischaemic heart disease and stroke, 14% were due to chronic obstructive pulmonary disease, 14% were due to acute lower respiratory infections, and 4% of deaths were due to lung cancers."
health,"Addressing air pollution, which is the second highest risk factor for noncommunicable diseases , is key to protecting public health."
health,"To read more details about these pollutants and other types, please visit this page ."
health,Cooperation with other UN agencies and non-state actors is essential and is integrated into WHO’s work to ensure synergies and maximize impact on the ground.
health,"Anaemia can be caused by poor nutrition, infections, chronic diseases, heavy menstruation, pregnancy issues and family history."
health,"The population groups most vulnerable to anaemia include children under 5 years of age, particularly infants and children under 2 years of age, menstruating adolescent girls and women, and pregnant and postpartum women."
health,"Infections can be another important cause of anaemia, depending on the local burden of infectious diseases, such as malaria, tuberculosis, HIV and parasitic infections."
health,"Consistent heavy menstrual losses, maternal blood volume expansion during pregnancy, and blood loss during and after childbirth, particularly in cases of postpartum haemorrhage, commonly lead to anaemia."
health,"Actions include: There are several ways to help prevent and manage anaemia in daily life, including eating a healthy and diverse diet and speaking to a health-care provider early if you have symptoms of anaemia."
health,"To keep a healthy and diverse diet: If you take calcium and iron supplements, take them at different times during the day."
health,People with heavy menstrual bleeding should see their doctor for treatment.
health,Doctors may recommend iron supplements or hormonal contraceptives.
health,Wash your hands with soap and water and use clean toilets to reduce the risk of infection.
health,People living in places where malaria is common should follow prevention advice from local health authorities.
health,Seek prompt treatment if you suspect you have malaria.
health,"During pregnancy, anaemia has been associated with poor maternal and birth outcomes, including premature birth, low birth weight and maternal mortality."
health,"Anaemia reduction is included as one of six World Health Assembly Global Nutrition Targets within the Comprehensive implementation plan on maternal, infant and young child nutrition ."
health,"At the Nutrition for Growth Summit in 2021, WHO committed to develop a comprehensive framework for action to prevent, diagnose and manage anaemia through a multisectoral approach."
health,"Through partnerships with community platforms, professional networks, and grassroots organizations, WHO Uganda is supporting initiatives that enhance accountability, promote people-centred care, and ensure community perspectives are embedded in policy and decision-making."
health,"Discussions highlighted the pressing need to support frontline health workers through mentorship, positive workplace environments, and mental health support."
health,"By working closely with civil society and communities, WHO is helping to ensure that health interventions are not only technically sound but also socially responsive and equitable."
health,"The agenda seeks to ensure that all people have access to quality essential health services throughout their lives, wherever and whenever they need them, without experiencing financial hardship."
health,"Representing Uganda, Honorable Grace Mary Mugasa, Minister of State in the Ministry of Public Service, emphasized the need to move beyond commitments to measurable results. “The real test is not more declarations, but whether investments translate into deployed, motivated and high-performing health workers,” she said."
health,"As Uganda reaches the midpoint of implementing its Human Resources for Health (HRH) Strategic Plan 2020–2030, the Ministry of Health, with support from WHO and partners, is taking stock of progress and identifying priorities for the next five years."
health,"Their institutional knowledge, frontline experience and sectoral expertise are helping to ensure that Uganda’s next health workforce strategy is both evidence-based and grounded in practical realities."
health,"At the center of this effort is a comprehensive “health financing cliff analysis,” a joint initiative between WHO and the Makerere University School of Public Health, conducted in close cooperation with the Ministry of Health."
health,"Alongside this analytical work, WHO is helping the Ministry of Health refocus on improving efficiency across the health sector, a strategy seen as essential for maximizing results within constrained budgets."
health,"In mid-April 2026, WHO convened high-level meetings with the Ministry of Health leadership, including the Director General of Health Services, to share updates on the financing analysis and ongoing efficiency initiatives."
health,Recommendations emerging from these engagements are expected to inform policy reforms to enhance financial resilience and ensure a smoother transition toward self-reliance.
health,"Chris, an anthropologist at WHO’s country office in Uganda, is part of the rapid response team working on the ground to curb the Ebola outbreak in Uganda."
health,"Three days earlier, Lilian presented with signs and symptoms consistent with Ebola and was transferred to Mulago hospital’s Ebola isolation unit in Kampala for diagnosis and care."
health,"Lilian has asked them to speak to the shopkeeper who she says was “pointing fingers” at her mother when she shopped yesterday. “Ebola is a disease that everyone fears,” says Henry. “If people hear that their neighbour may have Ebola, there will be stigma there."
health,"It was our role to bring Lilian back and clear up that miscommunication and reduce that fear in the community."" After the discussion, the shopkeeper expresses his gratitude to the team for taking the time to visit and explain."
health,At around 18:30 Chris gets a call and breaks into a smile.
health,"The Joint Africa CDC–WHO AFRO Continental Incident Management Support Team (IMST) will be based at the Infectious Diseases Institute at Makerere University in Kampala, Uganda, and will become fully operational from 29 June 2026."
health,The platform will support the response to the ongoing Bundibugyo virus disease outbreak affecting the Democratic Republic of the Congo and Uganda.
health,The outbreak continues to pose a significant public health challenge in the region.
health,"The Continental IMST brings together technical experts from WHO, Africa CDC and partner organizations under a unified coordination structure to support country-led outbreak response."
health,"Following the launch, the IMST will begin routine operations, including daily coordination meetings, joint planning, information management, partner engagement, emergency logistics coordination and deployment of rapid response personnel. “Pathogens do not respect borders and neither can our response."
health,"Nyenswah, Director, Pandemic Prevention, Preparedness and Response at Africa CDC."
health,"The Continental IMST complements national leadership of the outbreak response and reflects the continued collaboration between Uganda, the Democratic Republic of the Congo, WHO, Africa CDC and partners to strengthen preparedness and response across the region."
health,"Kampala, Uganda:— Health leaders from across Africa have convened in Uganda’s capital for a high-level meeting to strengthen regional preparedness and cross-border collaboration in response to the ongoing Bundibugyo Ebola outbreak affecting Uganda and the Democratic Republic of the Congo (DRC)."
health,"The three-day meeting, organized by the World Health Organization (WHO) Regional Office for Africa, the Africa Centres for Disease Control and Prevention (Africa CDC), and UK Health Security Agency, has drawn participants from 11 high-risk countries."
health,"Belizaire warned, stressing that investing in preparedness is essential not only for public health but also for economic and national security."
health,"Tolbert Nyenswah pointed to lessons from the 2014–2016 West Africa Ebola outbreak, where strong cross-border cooperation played a key role in controlling the epidemic. “Outbreak control cannot stop at national borders,” he said."
health,"In May 2026, Uganda formally closed a polio outbreak that had been detected two years earlier, marking a major public health achievement and demonstrating the power of preparedness, coordination, and rapid response."
health,"Within five days, the Ministry of Health declared an outbreak, setting in motion one of the country’s fastest and most coordinated public health responses."
health,"Only 20 percent of children had vaccination cards, and many had never received routine immunization."
health,"Two rounds of supplementary immunization campaigns were conducted in October and November 2024, using the novel oral polio vaccine type 2."
health,"Rather than treating polio and measles as separate emergencies, authorities integrated their response, delivering measles vaccines alongside polio immunization efforts."
health,A Lesson in Preparedness Uganda’s experience highlights a fundamental truth about infectious disease outbreaks: they often begin silently.
health,"Kampala— World Health Organization (WHO) Director-General Dr Tedros Adhanom Ghebreyesus has commended Uganda’s response to the ongoing Ebola outbreak while urging continued regional cooperation, sustained investment and strong community engagement to prevent further spread of the disease."
health,"Dr Tedros visited Uganda on 8 and 9 June 2026 as part of regional missions focused on the Ebola outbreak response that started in the Democratic Republic of the Congo, with spillover into Uganda."
health,"During his visit, he met with the Ugandan Head of State, His Excellency Yoweri Museveni, health officials, health workers and partners, and assessed efforts to contain the outbreak."
health,"This outbreak of Ebola disease caused by Bundibugyo virus is rare and there are currently no approved vaccines or specific treatments, but early and optimized care is lifesaving."
health,Cases are being managed at the Ebola Treatment Unit at Mulago Hospital isolation unit which was commissioned within 6 hours of outbreak declaration.
health,During his visit to the unit Dr Tedros praised the quality of clinical care being delivered by the country’s Emergency Medical Team (EMT) members.
health,"As the outbreak continues, Dr Tedros emphasized that vigilance must remain high."
health,"While commending Uganda’s efforts, Dr Tedros stressed that no country can control the outbreak alone."
health,This is Uganda’s ninth Ebola outbreak.
health,The country’s experience in responding to previous outbreaks has helped build systems that can detect and manage public health threats quickly.
health,He encouraged Uganda to start a social movement on addressing the root causes of Ebola outbreaks.
health,"They are based on revised WHO training modules (2025), aligned with the latest evidence, and integrate tools on quality of care, clinical management and support for patients and caregivers."
health,"The sessions combined theoretical and practical approaches, including case studies, simulations, facilitation exercises and supervised clinical placements in hospitals."
health,"At the end of the training courses, participating countries developed national action plans to organize domestic trainings, reinforce mentorship and clinical supervision, improve quality of care in nutrition units and accelerate the implementation of national protocols aligned with WHO recommendations."
health,"Districts should be the drivers of their own health agendas” Andrew Bakainaga, WHO District Health Management Lead This philosophy of empowerment is more than a slogan."
health,"To put this vision into practice, WHO has deployed nine regional teams across the country: specialists in health systems, disease surveillance, and monitoring and evaluation who work hand in hand with District Health Management Teams."
health,"For the first time in some regions, district health management teams are using real-time data to strategically deploy health workers, respond to early signs of disease outbreaks, and refine their planning cycles."
health,"Uganda's recent history is marked by repeated public health emergencies: COVID-19, Ebola, C holera, A nthrax, and, most recently, Mpox."
health,"As a result, districts are not only better prepared for emerging threats but also ensure that routine services continue even when emergencies strike."
health,"Thanks to the integrated screening services supported by the World Health Organization (WHO) and World Diabetes Foundation (WDF), Sarah leaves the facility with a clear understanding of her blood pressure and blood sugar levels, and a plan for managing the hypertension."
health,Uganda and Ghana are currently the only two countries globally implementing the four-year Diabetes and Cardiovascular Disease (D-CARD) Africa Project.
health,"Launched in 2024, the initiative aims to integrate non-communicable disease (NCD) screening into existing health services—including HIV, TB, and malnutrition programs—to promote a holistic and sustainable approach to patient care."
health,"Charles Oyoo, Commissioner for Non-Communicable Diseases at the Ministry of Health."
health,"Recently, WHO handed over assorted medical equipment to Uganda’s Ministry of Health under the D-CARD Africa Project, to support the country’s fight against noncommunicable diseases."
health,"This approach has greatly improved our ability to detect conditions like hypertension and diabetes early, allowing us to manage them before complications arise,” said Jovita Atuheire, a clinician at Maziba Health Centre IV, who participated in the one-week training held in May 2025."
health,"During a recent supervision visit to project-supported districts, Dr."
health,"Diabetes and hypertension continue to pose a significant public health challenge in Uganda, with many individuals unaware of their status, delaying treatment and increasing the risk of severe complications and poor treatment outcomes."
health,"Through the integration of services at chronic care clinics, the D-CARD project is helping to bridge these gaps by strengthening early detection, diagnosis and management of diabetes and hypertension, while also supporting routine screening for HIV, TB, and malnutrition."
health,WHO reaffirms its commitment to supporting the scaling up of integrated non-communicable diseases services across Uganda.
health,"Kingi emphasized that Africa must move beyond diagnosing problems to delivering solutions at scale. “We must not only diagnose the challenges, but also prescribe the solutions, and most importantly, implement them,” he said, urging African scientists to innovate on African soil."
health,"His message was clear: “Africa’s health systems must be designed, led, and owned by Africa."
health,"Jane Ruth Aceng, underscored the importance of strengthening health systems to ensure accessibility, equity, and quality, both for primary healthcare and specialized services."
health,"Delivering a keynote address, Dr Queen Dube from WHO headquarters echoed the call for a multisectoral approach. “Most causes of ill-health lie outside the health sector."
health,"Investing in Primary Health Care (PHC) by embedding services for HIV, TB, malaria, and related comorbidities into PHC and community-based services."
health,"Responding to the growing global dialogue on workplace mental health, especially during the current transition within WHO and across the broader UN community, WHO Uganda launched the ‘Men Talk’ series—a bold and timely initiative aimed at supporting the mental health and wellbeing of male colleagues."
health,"I believe fathers should share financial wisdom with their sons early on, rather than waiting until adulthood."
health,"Men need to learn how to manage their finances wisely—especially by living within their means.” To keep the momentum, a WhatsApp group exclusively for male staff has been created."
health,"Kampala ‒ In an effort to protect populations often left behind in public health campaigns, Uganda is carrying out a community-focused drive to ensure extensive mpox vaccination coverage beyond the traditional health or public service facilities."
health,"World Health Organization (WHO) in partnership with Most at Risk Populations Initiative (MARPI) Clinic Mulago are carrying out the campaign to vaccinate sex workers, lorry drivers, fisherfolk and other populations often underserved by mainstream health systems."
health,"Gavi, the Vaccine Alliance, UNICEF and the Infectious Diseases Institute provided funding, logistics and training support, while government structures ensured smooth coordination."
health,"Those two things were hard for me to handle.” Nangobi was the first contact to be admitted to the Ebola treatment centre. “Finding out you have Ebola, you are psychologically, physically, mentally gone… everything,” she says."
health,"Dr Chris Opesen, an anthropologist at WHO’s Uganda country office reassured Nangobi and told her about the survivors from the previous Ebola outbreak in 2022. “I didn’t believe him."
health,"Maswaswa, along with another 178 first responders trained by WHO and Ministry of Health, has been in the frontline of Uganda’s response to major disease outbreaks including Ebola, mpox and COVID-19."
health,WHO has supported the Government of Uganda to strengthen its mental health and psychosocial support for health emergency response.
health,"In addition, WHO helped establish survivor clinics at three regional referral hospitals and one national referral hospital, ensuring continued access to specialized care for survivors close to their communities."
health,"WHO is proud to support these critical efforts as Uganda recovers from the Ebola outbreak."" Slowly, a few friends who initially fled have returned and are helping Nangobi rebuild, providing accommodation, food and emotional support."
health,"She says she still breaks down, but she is determined to stay strong for her two children. “I am grateful for the health workers who supported us in the treatment area, with counselling, and are helping us to resettle in our communities and gain our new lives,” she says."
health,"Kampala ‒ Uganda’s Ministry of Health, working with World Health Organization (WHO) and partners, has intensified surveillance, screening and undertaken contingency planning to mitigate the risk of cross-border transmission of Ebola virus disease."
health,This comes as the Democratic Republic of the Congo enters its fifth week of Ebola outbreak response in Kasai Province in the central region of the country.
health,WHO and partners have supported the Ministry of Health to conduct a review of the current Ebola situation in neighbouring Democratic Republic of the Congo to evaluate the likelihood of cross border spread to Uganda.
health,"Based on these findings, the Ministry of Health, WHO and partners reviewed and updated the country’s Ebola virus disease contingency plan."
health,The plan builds on lessons from previous Ebola outbreaks and draws from Uganda’s ongoing Sudan virus disease recovery plan.
health,"Our strengthened surveillance, updated contingency plans and trained emergency teams reflect our unwavering commitment to safeguarding public health across borders,” says Dr Charles Olaro, Director General Health Services at Uganda’s Ministry of Health."
health,"In May 2025, Uganda hosted more than 50 participants from 13 other countries in East Africa for a three-day joint simulation on infectious disease outbreak preparedness and response."
health,"The training focused on case management, water, sanitation and hygiene measures, infection prevention and control, and logistics."
health,"The simulation exercises took place inside the Infectious Diseases Treatment Module, an innovative, rapidly deployable medical facility used in infectious disease outbreak response."
health,"The scenario replicated the detection, investigation and response to a localized Ebola outbreak and included practical exercises in all pillars of outbreak response, including psychosocial support and safe and dignified burials."
health,The most recent outbreak of Ebola in Uganda was declared on 30 January 2025.
health,"Today, World Health Organization (WHO) joined Uganda’s Ministry of Health and other stakeholders to disseminate the Family Planning Bottleneck Analysis Report , a rapid assessment that highlights barriers hindering the scale-up of evidence-based family planning practices in Uganda."
health,The Family Planning Bottleneck Analysis Report highlights the key action areas for increasing the uptake of family planning services through the scale up of evidence-based practices.
health,"Kampala, Uganda — The World Health Organization (WHO) has reaffirmed its commitment to improving maternal and newborn health in Uganda by providing essential information technology equipment to the Bunyoro Local Maternity and Neonatal Systems (LMNS) in Hoima Regional Referral Hospital, in western Uganda."
health,"Our success depends on strong collaboration with WHO, the Ministry of Health, and local partners.” As part of the support, WHO also supported essential training in operative obstetrics for 20 health workers from the Bunyoro region."
health,"Through strengthened regional coordination, enhanced clinical capacity, and improved access to essential resources, the Bunyoro LMNS is well-positioned to serve as a scalable model for maternal and newborn health interventions across the country."
health,"Dr Kabali urged parents and caregivers to stay informed, involved, and vocal in their children’s care."
health,"Educators were encouraged to empower children to participate in their care, while civil society organizations were asked to mobilize communities and advocate for safer care."
health,"Amid global uncertainties and organizational changes, WHO has placed the mental health and well-being of its personnel at the heart of this transition."
health,"This commitment is evident in the integration of mental health support into daily operations and strategic planning. “At WHO Uganda, we recognize the individual impact of every decision made during the ongoing changes, and we remain committed to supporting mental well-being, now more than ever."
health,"During these challenging times, people remain at the center, and supporting their mental health is our priority,” said Dr Kasonde Mwinga, the WHO Representative to Uganda."
health,Mental health literacy and stress management sessions have been embedded in all staff engagements.
health,All personnel have been informed and empowered to seek help when needed.
health,"In line with global health recommendations from WHO and UNICEF, we proudly introduce a dedicated breastfeeding space for staff and visitors, designed to promote optimal infant nutrition and maternal wellbeing."
health,No woman should have to choose between her career and her child’s health.
health,"By creating this safe and nurturing environment for mothers and their babies, WHO Uganda joins the global movement to ensure that breastfeeding and work, work."
health,"It provides nutritional, mental, and emotional benefits to both infant and mother."
health,The report indicates exclusive breastfeeding rates in child 0-6 months at 94%; while 96% of children were reported to having ever breastfed.
health,"We need to continue promoting breastfeeding, supporting enforcement of the International Code of Marketing of Breast milk Substitutes, ensure women have access to breastfeeding counselling and support along with the information, advice, reassurance, and confidence they need to nourish their babies optimally."
health,We need to focus support for breastfeeding premature babies through scaling up the setup of breast milk banks across the country.
health,WHO and UNICEF reaffirm their strong commitment to continue working with and supporting the Ministry of Health to continue to strengthen the health system required to adequately support mothers to successfully breastfeed to sustain and further improve the current national breastfeeding rates.
health,"This affects successful breastfeeding, and many times mothers turn to formula and/or cow’s milk with various possible side effects including malnutrition and allergic conditions in poorly breastfed infants."
health,"Additionally, 82% of newborns were breastfed within one hour of birth, and 86% experienced skin-to-skin contact with their mothers in the first hour—key practices for successful breastfeeding."
health,"A special call was made to support the establishment of breast milk banks across Uganda, particularly to serve premature and vulnerable newborns."
health,This initiative was recognized as a critical step towards in ensuring equitable access to nutrition for all infants.
health,"As Uganda joins the global community in celebrating World Breastfeeding Week, the call to action is unmistakable: breastfeeding must be recognized as a collective responsibility, supported by inclusive policies and societal structures that address gender inequities."
health,"I commend the Ministry of Health for its leadership and commitment to strengthening emergency readiness,” said Dr Kasonde Mwinga, WHO Representative to Uganda."
health,"Emergencies such as Ebola, Marburg, cholera, and zoonotic diseases require coordination between human health, animal health, and environmental sectors."
health,Uganda marked the 2025 International Self-Care Day with a nationwide call for communities to embrace self-care as a vital pillar of public health.
health,"Noting that men often delay seeking care, he urged Ugandans to take breaks, re-energize, and seek timely medical support. “We urge the public to adopt health-seeking behaviors and embrace self-care as a daily practice."
health,"The 24/7 symbolism reflects the idea that self-care can—and should—be practiced 24 hours a day, 7 days a week."
health,"Self-care interventions in Uganda include HIV self-testing, contraceptive use, and home-based management of chronic conditions like diabetes."
health,"It does not replace the health system—it strengthens it,” said Dr Kasonde Mwinga, WHO Representative in Uganda. “Let us ensure that every Ugandan, regardless of their location, has access to the tools, knowledge, and support necessary to take charge of their health."
health,"During an outreach visit, a midwife introduced her to family planning self-care methods, explaining how she could safely administer injectable contraceptives at home and use a calendar method to track her fertility."
health,"These address six priority areas: antenatal care, family planning, HIV/sexually transmitted infections, post-abortion care, and non-communicable diseases."
health,"The Ministry of Health, in collaboration with the World Health Organization (WHO) and partners, convened a national Ebola Accountability Forum on 24 July 2025 to reflect on Uganda’s response to the 2025 Ebola outbreak and to strengthen future preparedness efforts."
health,"She acknowledged the shifting landscape of global health financing and the evolving priorities of donors, while expressing deep appreciation for the unwavering support received from partners during the Ebola outbreak."
health,"Participants discussed the need to modernize surveillance systems, strengthen supply chains, and the importance of institutionalizing resilient health care systems."
health,There was a strong emphasis on integrating behavioral insights and risk communication into preparedness planning to ensure more effective responses in the future.
health,"Dr Kasonde Mwinga, WHO Country Representative to Uganda, applauded the Ministry of Health for its leadership and the rapid activation of response mechanisms."
health,"She underscored the importance of aligning every contribution with national priorities to ensure maximum impact. “While the outbreak has officially ended, the systemic vulnerabilities it exposed need attention."
health,Uganda declared an Ebola outbreak on 30 January 2025.
health,"With support from WHO and partners, Ministry of Health activated emergency response mechanisms, including surveillance, case management, laboratory services, risk communication, and community engagement."
health,Maternal mortality remains a significant public health challenge in Kenya.
health,"He added that a resilient health system must support women across the life course, not only during pregnancy and childbirth, central to the government's commitment to Universal Health Coverage."
health,"To support effective use, WHO and the Ministry of Health matched the equipment to facilities with capacity to deliver the relevant services and coordinated installation, training and mentorship support."
health,"Oluga called on beneficiary counties and facilities to ensure proper use, maintenance and accountability."
health,"In the past year, WHO has supported 14 of the 47 counties in Kenya to develop a pool of facility-based mentors of emergency obstetric and newborn care, helping ensure that more women can access skilled care during pregnancy and childbirth, even in the most hard-to-reach areas."
health,"The hub has shipped 11 tonnes of health emergency supplies and equipment from Jomo Kenyatta International Airport directly to Bunia in the Democratic Republic of the Congo, where an outbreak of Ebola disease outbreak caused by Bundibugyo virus was declared on 15 May 2026."
health,"Oloo has been part of the team that has loaded two consignments: an initial five tonnes followed two days later by another six tonnes. “I need to ensure that the cargo leaving for the Democratic Republic of the Congo is well taken care of and loaded in a clear way so that it may not be damaged,” says Oloo."
health,"Nairobi - Following successive Ebola and Marburg outbreaks across East Africa, countries are shifting how preparedness is defined, placing greater emphasis on the quality of clinical care delivered to patients."
health,"To address this gap, countries are strengthening the systems that underpin clinical care, from building multidisciplinary teams and improving intensive and supportive care practices, to reinforcing infection prevention and WASH standards and ensuring facilities are equipped to operate safely during outbreaks."
health,"The programme focused on critical care, patient monitoring, safe use of personal protective equipment, and maintaining high-quality clinical operations under outbreak conditions."
health,"World Health Organization supported this effort through technical guidance, coordination and the strengthening of regional networks, helping to ensure that clinical capacity continues to grow across countries and is sustained between outbreaks."
health,The next phase is to ensure that every patient benefits from the same standard of high-quality care.
health,"It will also strengthen the health workforce through training and specialist mentorship, while generating practical solutions to persistent barriers in screening, diagnosis, referral, and follow-up,"" said Dr Hanan Balkhy, WHO Regional Director for the Eastern Mediterranean (EMRO)."
health,WHO estimates that premature deaths from all noncommunicable diseases in the African Region are projected to rise to 3.8 million by 2030 if action is not accelerated.
health,"The WHO exhibition booth promises to be a dynamic and meaningful space, featuring latest WHO publications, an interactive virtual reality installation which simulates polio vaccination in a community, and a demonstration of a WHO-developed AI application for emergency response."
health,"Strengthening disease surveillance, maintaining access to safe water and sanitation, and safeguarding continuity of essential health services are all critical during this period,"" said Dr."
health,"Neema Rusibamayila Kimambo, Acting WHO representative to Kenya A multiagency Vulnerability, Risk, Capacity Assessment identified critical gaps in county health departments' ability to manage displaced populations and contain potential outbreaks."
health,"The Incident Management Support Team was activated at national and county Public Health Emergency Operations Centres, and active disease surveillance was established across all affected areas."
health,"WHO supported the response with cholera kits, water treatment supplies, and trauma kits, reaching 5,000 people, with additional supplies positioned to serve over 100,000 people."
health,"The Ministry of Health and WHO are working to ensure these lessons translate into stronger emergency plans, better-resourced facilities, and more resilient communities."
health,"Nairobi- Kenya has launched its Second National Action Plan for Health Security 2026–2030, marking a significant step toward strengthening the country’s ability to prevent, detect, and respond to public health threats."
health,"""Today's event reflects Kenya's continued commitment to building a strong, resilient and coordinated system for preventing, detecting and responding to public health threats,"" said Dr Neema Rusibamayila Kimambo, Acting WHO representative to Kenya."
health,"""But if we do not put commensurate resources behind this plan, it just becomes a document on the shelf."
health,"The prolonged drought has led to rising rates of malnutrition, increased risk of disease outbreaks, and disrupted access to essential health services."
health,"WHO has supported Kenya's Ministry of Health and National Public Health Institute to map out annual health risks using the Strategic Tool for Assessing Risks (STAR), WHO's comprehensive toolkit for evidence-based public health risk assessment."
health,"Acting on these early warnings, in November 2025, WHO handed over assorted emergency supplies to the Government of Kenya received, including cholera kits, pneumonia kits, and essential supplies and equipment pre-positioned in high-risk counties before the drought intensified."
health,"Martins, Head of Emergency Preparedness and Response, WHO Kenya. “Water scarcity is forcing families to rely on unsafe sources, raising the risk of cholera, typhoid, and diarrhoeal diseases."
health,"Livestock herds, which provide vital food source for pastoralist communities, have been affected, leaving children and pregnant women at severe risk of acute malnutrition.” Dr."
health,"Neema, WHO Acting Representative to Kenya. “Our immediate priority must be ensuring communities have access to adequate food supply and safe water for both people and livestock."
health,"Nairobi — The Government of Kenya has launched the National Cervical Cancer Elimination Action Plan 2026-2030, a five-year strategy developed with support from the World Health Organization (WHO) to accelerate the prevention, early detection and treatment of cervical cancer."
health,"Although the disease is largely preventable through human papillomavirus (HPV) vaccination and early screening, many women continue to be diagnosed at advanced stages due to gaps in access to services."
health,"In November 2025, Kenya transitioned to a single-dose HPV vaccination schedule , in line with WHO recommendations, to simplify delivery and improve coverage."
