"PSA_Id","Domain","Class","English","Kiswahili","Ekegusii","Dholuo","Somali","Source","Date","Metadata","English_original"
"20","Agriculture","PSA","The export ban on macadamia remains in effect. Farmers are advised to stay updated on any future changes regarding this policy.","","","","","https://kilimo.go.ke/cs-mutahi-kagwe-defends-macadamia-export-ban-highlights-progress-in-tea-sector-reform/","2026-07-14","scraped:MoALD News","CS Mutahi Kagwe Defends Macadamia Export Ban, Highlights Progress in Tea Sector ReformView moreMarch 12, 2025."
"21","Agriculture","PSA","The 8th Africa Agric Expo 2025 is officially open at KICC. Farmers and agribusiness stakeholders are encouraged to attend and explore opportunities.","","","","","https://kilimo.go.ke/principal-secretary-dr-kipronoh-ronoh-presides-over-the-official-opening-of-the-8th-africa-agric-expo-2025-at-kicc/","2026-07-14","scraped:MoALD News","Principal Secretary Dr. Kipronoh Ronoh Presides Over the Official Opening of the 8th Africa Agric Expo 2025 at KICCView moreFebruary 19, 2025."
"22","Agriculture","PSA","There are new agricultural partnerships under discussion that may benefit Kenyan farmers. Stay informed about developments and opportunities related to these initiatives.","","","","","https://kilimo.go.ke/strengthening-agricultural-partnerships-cs-mutahi-kagwe-meets-with-ifad-president-on-the-sidelines-of-the-48th-ifad-governing-council-in-rome-italy-%f0%9f%87%b0%f0%9f%87%aa%f0%9f%87%ae%f0%9f%87%b9/","2026-07-14","scraped:MoALD News","Strengthening Agricultural Partnerships: CS Mutahi Kagwe meets with IFAD President on the sidelines of the 48th IFAD Governing Council, in Rome, Italy 🇰🇪🇮🇹View moreFebruary 11, 2025."
"23","Agriculture","PSA","Farmers and agribusiness stakeholders in the tea sector are encouraged to engage with Dr. Kipronoh Ronoh to discuss strategies for strengthening the sector and boosting earnings.","","","","","https://kilimo.go.ke/ps-dr-kipronoh-ronoh-engages-stakeholders-to-strengthen-tea-sector-and-boost-farmer-earnings/","2026-07-14","scraped:MoALD News","PS Dr. Kipronoh Ronoh Engages Stakeholders to Strengthen Tea Sector and Boost Farmer EarningsView moreFebruary 7, 2025."
"24","Agriculture","PSA","No actionable information available.","","","","","https://kilimo.go.ke/cs-kagwe-holds-first-meeting-with-departmental-heads-at-the-ministry-of-agriculture-and-livestock-development/","2026-07-14","scraped:MoALD News","CS Kagwe Holds First Meeting with Departmental Heads at the Ministry of Agriculture and Livestock Development.View moreFebruary 5, 2025."
"25","Agriculture","PSA","Kenya is set to enhance cotton production and the textile industry. Farmers and stakeholders should prepare for upcoming initiatives.","","","","","https://kilimo.go.ke/kenya-to-boost-cotton-production-and-textile-industry-following-insights-from-benin-visit/","2026-07-14","scraped:MoALD News","Kenya to Boost Cotton Production and Textile Industry Following Insights from Benin VisitView moreJanuary 29, 2025."
"26","Agriculture","PSA","Farmers in Kericho: The Principal Secretary of Agriculture visited the Tebesonik Tea Factory and Charera Water Project to address your concerns and promote sustainable development.","","","","","https://kilimo.go.ke/dr-kipronoh-ronoh-paul-principal-secretary-of-agriculture-visits-tebesonik-tea-factory-and-charera-water-project-in-kericho-to-address-farmers-concerns-and-promote-sustainable-development/","2026-07-14","scraped:MoALD News","Dr. Kipronoh Ronoh Paul, Principal Secretary of Agriculture, Visits Tebesonik Tea Factory and Charera Water Project in Kericho to Address Farmers' Concerns and Promote Sustainable Development""View moreJanuary 25, 2025."
"27","Agriculture","PSA","Farmers in Naivasha are advised to check the NCPB store for updates on the fertilizer subsidy distribution.","","","","","https://kilimo.go.ke/the-ps-dr-kipronoh-ronoh-paulcbs-visits-naivasha-ncpb-store-to-assess-fertilizer-subsidy-distribution-progress/","2026-07-14","scraped:MoALD News","The PS, Dr Kipronoh Ronoh Paul,CBS, Visits Naivasha NCPB Store to Assess Fertilizer Subsidy Distribution ProgressView moreJanuary 24, 2025."
"28","Agriculture","PSA","The sugar sector is a vital economic pillar and source of livelihood for millions in western Kenya.","","","","","https://kilimo.go.ke/the-sugar-sector-remains-a-key-economic-pillar-and-a-livelihood-source-for-millions-especially-in-western-kenya/","2026-07-14","scraped:MoALD News","The sugar sector remains a key economic pillar and a livelihood source for millions, especially in western KenyaView moreJanuary 20, 2025."
"29","Agriculture","PSA","Farmers in Uasin Gishu are encouraged to participate in National Farmers' Day celebrations aimed at highlighting agricultural transformation.","","","","","https://kilimo.go.ke/ps-dr-kipronoh-ronoh-leads-national-farmers-day-celebrations-in-uasin-gishu-to-highlight-agricultural-transformation/","2026-07-14","scraped:MoALD News","PS Dr. Kipronoh Ronoh Leads National Farmers' Day Celebrations in Uasin Gishu to Highlight Agricultural TransformationView moreDecember 19, 2024."
"30","Agriculture","PSA","The Narok and Bomet Counties Agripreneurs Model initiative is now available under NAVCDP. Interested agripreneurs should take note and participate starting December 18, 2024.","","","","","https://kilimo.go.ke/ps-dr-kipronoh-ronoh-paulcbs-presides-over-the-unveiling-of-the-narok-and-bomet-counties-agripreneurs-model-a-transformative-initiative-under-navcdp/","2026-07-14","scraped:MoALD News","PS Dr. Kipronoh Ronoh Paul,CBS, presides over the unveiling of the Narok and Bomet Counties Agripreneurs Model, a transformative initiative under NAVCDP.View moreDecember 18, 2024."
"31","Agriculture","PSA","The 2025 Long Rains National Fertilizer Subsidy Programme is now launched; farmers are encouraged to apply for subsidies at NCPB GPC Depot, Nairobi.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-has-presided-over-the-launch-of-the-2025-long-rains-national-fertilizer-subsidy-programme-nfsp-at-the-ncpb-gpc-depot-nairobi/","2026-07-14","scraped:MoALD News","CS Dr Andrew Karanja has presided over the launch of the 2025 Long Rains National Fertilizer Subsidy Programme (NFSP) at the NCPB GPC Depot, Nairobi.View moreDecember 18, 2024."
"32","Agriculture","PSA","1 million bags of subsidized fertilizers are now available for farmers. Please visit your local agricultural office to obtain your supply starting December 18, 2024.","","","","","https://kilimo.go.ke/the-principal-secretary-state-department-for-agriculture-dr-kipronoh-ronoh-paulcbs-flags-off-the-first-batch-of-1million-bags-of-subsidized-fertilizers/","2026-07-14","scraped:MoALD News","The Principal secretary state department for Agriculture Dr kipronoh Ronoh Paul,CBS flags off the first batch of 1Million bags of Subsidized fertilizers.View moreDecember 18, 2024."
"33","Agriculture","PSA","The Kimalel Goat Auction will take place on December 17, 2024, to support the livestock sector. Farmers are encouraged to participate.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-joins-h-e-president-ruto-at-kimalel-goat-auction-to-boost-livestock-sector/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Joins H.E. President Ruto at Kimalel Goat Auction to Boost Livestock SectorView moreDecember 17, 2024."
"34","Agriculture","PSA","The National Agricultural Investment Plan is undergoing a review to align with global and national priorities. Stay informed for updates on how this may affect your agricultural activities.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-launches-review-of-national-agricultural-investment-plan-to-align-with-global-and-national-priorities/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Launches Review of National Agricultural Investment Plan to Align with Global and National PrioritiesView moreDecember 11, 2024."
"35","Agriculture","PSA","A groundbreaking ceremony for sustainable farming, education, and environmental restoration has been held in Murang'a. Farmers are encouraged to engage with local initiatives.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-leads-groundbreaking-ceremony-in-muranga-championing-education-environmental-restoration-and-sustainable-farming/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Leads Groundbreaking Ceremony in Murang'a, Championing Education, Environmental Restoration, and Sustainable FarmingView moreDecember 10, 2024."
"36","Agriculture","PSA","County leaders and stakeholders should prepare for upcoming discussions on agricultural advancement with the World Bank. Stay informed for details on participation opportunities.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-leads-consultative-meeting-on-advancing-agriculture-with-county-leaders-and-world-bank/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Leads Consultative Meeting on Advancing Agriculture with County Leaders and World BankView moreDecember 9, 2024."
"37","Agriculture","PSA","Farmers and stakeholders are invited to engage in discussions on significant coffee reforms on December 6, 2024.","","","","","https://kilimo.go.ke/principal-secretary-state-department-for-agriculture-dr-kipronoh-ronoh-paul-engages-farmers-and-stakeholders-on-significant-coffee-reforms/","2026-07-14","scraped:MoALD News","Principal Secretary State Department for Agriculture, Dr Kipronoh Ronoh Paul Engages Farmers and stakeholders on significant coffee reforms.View moreDecember 6, 2024."
"38","Agriculture","PSA","Farmers are urged to remain vigilant and report any sightings of migratory pests or desert locusts to local agricultural authorities immediately.","","","","","https://kilimo.go.ke/regional-agriculture-ministers-gather-in-mombasa-to-address-threat-of-migratory-pests-and-desert-locust/","2026-07-14","scraped:MoALD News","Regional Agriculture Ministers Gather in Mombasa to Address Threat of Migratory Pests and Desert LocustView moreDecember 6, 2024."
"39","Agriculture","PSA","The Ministry of Agriculture and Livestock Development has launched the Farmer Registration Report 2023. Farmers are encouraged to access the report for vital information.","","","","","https://kilimo.go.ke/8863-2/","2026-07-14","scraped:MoALD News","The Ministry of Agriculture and Livestock Development launches Farmer registration report 2023View moreDecember 5, 2024."
"40","Agriculture","PSA","No actionable information for farmers or agribusiness stakeholders is present in this article.","","","","","https://kilimo.go.ke/courtesy-call-by-the-agricultural-society-of-kenya-delegation-to-the-cs-for-agriculture-and-livestock-development-dr-andrew-karanja/","2026-07-14","scraped:MoALD News","Courtesy Call by the Agricultural Society of Kenya Delegation to the CS for Agriculture and Livestock Development, Dr. Andrew KaranjaView moreDecember 3, 2024."
"41","Agriculture","PSA","Kenyan farmers are encouraged to engage in partnerships that strengthen the agricultural sector. For details, contact your local agricultural office.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-and-agra-president-dr-agnes-kalibata-discuss-strengthening-kenyas-agricultural-sector-through-strategic-partnerships/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja and AGRA President Dr. Agnes Kalibata Discuss Strengthening Kenya's Agricultural Sector Through Strategic PartnershipsView moreDecember 2, 2024."
"42","Agriculture","PSA","Youth interested in agribusiness can participate in the TEJATI initiative aimed at transforming agricultural ecosystems through technology and innovation. Sign up by November 29, 2024.","","","","","https://kilimo.go.ke/empowerment-for-youths-in-agribusiness-through-transforming-ecosystems-for-jobs-in-agriculture-through-technology-and-innovation-tejati-initiative/","2026-07-14","scraped:MoALD News","Empowerment for Youths in Agribusiness through Transforming ecosystems for jobs in agriculture through Technology and Innovation (TEJATI) initiativeView moreNovember 29, 2024."
"43","Agriculture","PSA","Caritas Nairobi has unveiled its Strategic Plan for 2024 to enhance agricultural empowerment. Stakeholders in agriculture are encouraged to engage with this initiative.","","","","","https://kilimo.go.ke/caritas-nairobi-unveils-strategic-plan-2024-with-cs-dr-andrew-karanja-advancing-agricultural-empowerment-and-community-transformation/","2026-07-14","scraped:MoALD News","Caritas Nairobi Unveils Strategic Plan 2024 with CS Dr. Andrew Karanja, Advancing Agricultural Empowerment and Community TransformationView moreNovember 28, 2024."
"44","Agriculture","PSA","The Ministry of Agriculture and Livestock Development has launched the National Agroecology Strategy for Food Systems Transformation. All stakeholders are encouraged to familiarize themselves with the strategy.","","","","","https://kilimo.go.ke/ministry-of-agriculture-and-livestock-development-officially-launch-its-national-agroecology-strategy-for-food-systems-transformation/","2026-07-14","scraped:MoALD News","Ministry of Agriculture and Livestock Development Officially Launch its National Agroecology Strategy for Food Systems TransformationView moreNovember 28, 2024."
"45","Agriculture","PSA","Farmers are urged to access certified and quality seeds to revitalize the agriculture sector. Check with local agricultural offices for availability and support.","","","","","https://kilimo.go.ke/revitalizing-the-agriculture-sector-through-provision-of-certified-and-quality-seeds-to-our-farmers/","2026-07-14","scraped:MoALD News","Revitalizing the agriculture sector through provision of certified and quality seeds to our farmersView moreNovember 26, 2024."
"46","Agriculture","PSA","Farmers are encouraged to take advantage of subsidized fertilizer and high-quality seeds to boost production.","","","","","https://kilimo.go.ke/government-supports-farmers-in-increasing-their-production-through-provision-of-subsidized-fertilizer/","2026-07-14","scraped:MoALD News","The government supports farmers in increasing their production through provision of subsidized fertilizer and high-quality seeds.View moreNovember 26, 2024."
"47","Agriculture","PSA","The Kenya Agricultural Management Information System (KIAMIS) is being scaled up for a digitized and transparent agricultural sector. Stay informed on updates and usage.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-leads-efforts-to-scale-up-kiamis-for-a-digitized-and-transparent-agricultural-sector/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Leads Efforts to Scale Up KIAMIS for a Digitized and Transparent Agricultural SectorView moreNovember 25, 2024."
"48","Agriculture","PSA","The Chemelil Sugar Strategic Plan 2023-2027 has been launched to transform the sugar industry. Stakeholders should review the plan for future opportunities and participation.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-launches-chemelil-sugar-strategic-plan-2023-2027-paving-the-way-for-industry-transformation/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Launches Chemelil Sugar Strategic Plan 2023-2027, Paving the Way for Industry TransformationView moreNovember 22, 2024."
"49","Agriculture","PSA","The government is supporting the sugar sector transformation to enhance value addition and increase production. Stakeholders are encouraged to engage in these initiatives.","","","","","https://kilimo.go.ke/driving-economic-growth-government-supports-sugar-sector-transformation-through-value-addition-and-increased-production/","2026-07-14","scraped:MoALD News","Driving Economic Growth: Government Supports Sugar Sector Transformation Through Value Addition and Increased ProductionView moreNovember 22, 2024."
"50","Agriculture","PSA","The government is enhancing support for the tea sector by focusing on value addition and quality production. Farmers are encouraged to adopt these practices for better profitability.","","","","","https://kilimo.go.ke/government-reaffirms-commitment-to-boosting-tea-sector-through-value-addition-and-quality-production/","2026-07-14","scraped:MoALD News","Government Reaffirms Commitment to Boosting Tea Sector Through Value Addition and Quality ProductionView moreNovember 22, 2024."
"51","Agriculture","PSA","The Avocado Society of Kenya is working with the government to address industry challenges; all avocado farmers are encouraged to engage for support and solutions.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-meets-avocado-society-of-kenya-to-address-industry-challenges/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Meets Avocado Society of Kenya to Address Industry ChallengesView moreNovember 18, 2024."
"52","Agriculture","PSA","No actionable content available.","","","","","https://kilimo.go.ke/ministry-of-agriculture-and-livestock-development-engages-senate-committee-to-advance-agricultural-growth/","2026-07-14","scraped:MoALD News","Ministry of Agriculture and Livestock Development Engages Senate Committee to Advance Agricultural GrowthView moreNovember 15, 2024."
"53","Agriculture","PSA","The EU and Kenya are collaborating to enhance sustainable agriculture driven by youth. Stay tuned for upcoming programs and opportunities to engage in this initiative.","","","","","https://kilimo.go.ke/strengthening-ties-eu-and-kenya-forge-pathways-to-a-sustainable-youth-driven-agriculture-sector/","2026-07-14","scraped:MoALD News","Strengthening Ties: EU and Kenya Forge Pathways to a Sustainable, Youth-Driven Agriculture SectorView moreNovember 12, 2024."
"54","Agriculture","PSA","The 12th STAK Congress has opened, focusing on the seed industry's vital role in Kenya's food security. Stakeholders in agriculture are encouraged to participate and engage in discussions.","","","","","https://kilimo.go.ke/director-of-crop-resource-management-leonard-kubok-opens-12th-stak-congress-emphasizes-seed-industrys-role-in-kenyas-food-security/","2026-07-14","scraped:MoALD News","Director of Crop Resource Management Leonard Kubok Opens 12th STAK Congress, Emphasizes Seed Industry's Role in Kenya's Food SecurityView moreNovember 6, 2024."
"55","Agriculture","PSA","The Sugar Bill has been signed to revitalize Kenya's sugar industry; farmers and stakeholders should stay informed on upcoming regulations and opportunities.","","","","","https://kilimo.go.ke/kenya-takes-monumental-step-in-revitalizing-sugar-industry-with-signing-of-the-sugar-bill/","2026-07-14","scraped:MoALD News","Kenya Takes Monumental Step in Revitalizing Sugar Industry with Signing of the Sugar BillView moreNovember 1, 2024."
"56","Agriculture","PSA","The government is advancing the dairy industry transformation under the BETA Plan. Milk processors are urged to align with the strategic goals outlined.","","","","","https://kilimo.go.ke/government-advances-dairy-industry-transformation-under-beta-plan-cs-dr-andrew-karanja-outlines-strategic-goals-with-milk-processors/","2026-07-14","scraped:MoALD News","Government Advances Dairy Industry Transformation under BETA Plan: CS Dr. Andrew Karanja Outlines Strategic Goals with Milk ProcessorsView moreOctober 31, 2024."
"57","Agriculture","PSA","The Intergovernmental Agriculture Forum is convening to drive strategic resolutions for agricultural sector transformation. Stakeholders are encouraged to participate and contribute.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-and-cog-chair-hon-ahmed-abdullahi-lead-intergovernmental-agriculture-forum-to-drive-strategic-resolutions-for-sector-transformation/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja and COG Chair Hon. Ahmed Abdullahi Lead Intergovernmental Agriculture Forum to Drive Strategic Resolutions for Sector TransformationView moreOctober 29, 2024."
"58","Agriculture","PSA","National and County Governments are enhancing collaboration for food security and agricultural growth. Stay informed on upcoming initiatives and support available for your farming activities.","","","","","https://kilimo.go.ke/national-and-county-governments-hold-consultative-meeting-to-enhance-collaboration-for-food-security-and-agricultural-growth/","2026-07-14","scraped:MoALD News","National and County Governments Hold Consultative Meeting to Enhance Collaboration for Food Security and Agricultural GrowthView moreOctober 28, 2024."
"59","Agriculture","PSA","Farmers are advised to stay updated on the Fertilizer Subsidy Program and Food Security Preparedness Plan. Further details will be provided soon.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-engages-world-bank-task-force-on-fertilizer-subsidy-program-and-food-security-preparedness-plan/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Engages World Bank Task Force on Fertilizer Subsidy Program and Food Security Preparedness PlanView moreOctober 25, 2024."
"60","Agriculture","PSA","Kenyan farmers are encouraged to engage with the Kenya-Denmark partnership to improve food safety and agricultural development.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-and-danish-ambassador-strengthen-kenya-denmark-partnership-in-food-safety-and-agricultural-development/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja and Danish Ambassador Strengthen Kenya-Denmark Partnership in Food Safety and Agricultural DevelopmentView moreOctober 25, 2024."
"61","Agriculture","PSA","Farmers and agribusiness stakeholders are encouraged to utilize extension services to enhance agricultural transformation.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-inaugurates-kefaas-symposium-emphasizes-the-importance-of-extension-services-for-agricultural-transformation/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Inaugurates KeFAAS Symposium, Emphasizes the Importance of Extension Services for Agricultural TransformationView moreOctober 17, 2024."
"62","Agriculture","PSA","Farmers and agribusiness stakeholders are encouraged to explore new export opportunities as CS Dr. Andrew Karanja meets with AMCHAM Kenya to enhance U.S.-Kenya agricultural collaboration.","","","","","https://kilimo.go.ke/cs-dr-andrew-karanja-meets-amcham-kenya-taskforce-to-strengthen-u-s-kenya-agricultural-collaboration-and-boost-export-opportunities/","2026-07-14","scraped:MoALD News","CS Dr. Andrew Karanja Meets AMCHAM Kenya Taskforce to Strengthen U.S.-Kenya Agricultural Collaboration and Boost Export OpportunitiesView moreOctober 14, 2024."
