PSA_Id,Domain,Class,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
40,Agriculture,PSA,"Kenya and Rockefeller Foundation Forge Strategic Alliance to Boost Food Security and Agricultural InnovationView moreApril 8, 2025.",,,,,https://kilimo.go.ke/kenya-and-rockefeller-foundation-forge-strategic-alliance-to-boost-food-security-and-agricultural-innovation/,2026-07-14,scraped:MoALD News
41,Agriculture,PSA,"Secretary Administration Visits Thika NCPB Depot, Assures Farmers of Uninterrupted Fertilizer SupplyView moreMarch 26, 2025.",,,,,https://kilimo.go.ke/secretary-administration-visits-thika-ncpb-depot-assures-farmers-of-uninterrupted-fertilizer-supply/,2026-07-14,scraped:MoALD News
42,Agriculture,PSA,"Transforming Kenya’s Coffee Industry: Unlocking Prosperity for Farmers and the NationView moreMarch 26, 2025.",,,,,https://kilimo.go.ke/transforming-kenyas-coffee-industry-unlocking-prosperity-for-farmers-and-the-nation/,2026-07-14,scraped:MoALD News
43,Agriculture,PSA,"Strengthening Kenya’s Horticulture Sector.View moreMarch 24, 2025.",,,,,https://kilimo.go.ke/strengthening-kenyas-horticulture-sector/,2026-07-14,scraped:MoALD News
44,Agriculture,PSA,"CS Mutahi Kagwe Assesses Progress in Kenya’s Tea Sector at Chai Trading WarehousesView moreMarch 14, 2025.",,,,,https://kilimo.go.ke/cs-mutahi-kagwe-assesses-progress-in-kenyas-tea-sector-at-chai-trading-warehouses/,2026-07-14,scraped:MoALD News
45,Agriculture,PSA,"CS Mutahi Kagwe Defends Macadamia Export Ban, Highlights Progress in Tea Sector ReformView moreMarch 12, 2025.",,,,,https://kilimo.go.ke/cs-mutahi-kagwe-defends-macadamia-export-ban-highlights-progress-in-tea-sector-reform/,2026-07-14,scraped:MoALD News
46,Agriculture,PSA,"PS Kipronoh Ronoh Engages Stakeholders to Revitalize Pyrethrum FarmingView moreMarch 1, 2025.",,,,,https://kilimo.go.ke/ps-kipronoh-ronoh-engages-stakeholders-to-revitalize-pyrethrum-farming/,2026-07-14,scraped:MoALD News
47,Agriculture,PSA,"Principal Secretary Dr. Kipronoh Ronoh Presides Over the Official Opening of the 8th Africa Agric Expo 2025 at KICCView moreFebruary 19, 2025.",,,,,https://kilimo.go.ke/principal-secretary-dr-kipronoh-ronoh-presides-over-the-official-opening-of-the-8th-africa-agric-expo-2025-at-kicc/,2026-07-14,scraped:MoALD News
48,Agriculture,PSA,"Sen. Mutahi Kagwe at IFAD Governing Council: Investing in Agriculture’s Future.View moreFebruary 12, 2025.",,,,,https://kilimo.go.ke/sen-mutahi-kagwe-at-ifad-governing-council-investing-in-agricultures-future/,2026-07-14,scraped:MoALD News
49,Agriculture,PSA,"Strengthening Agricultural Partnerships: CS Mutahi Kagwe meets with IFAD President on the sidelines of the 48th IFAD Governing Council, in Rome, Italy 🇰🇪🇮🇹View moreFebruary 11, 2025.",,,,,https://kilimo.go.ke/strengthening-agricultural-partnerships-cs-mutahi-kagwe-meets-with-ifad-president-on-the-sidelines-of-the-48th-ifad-governing-council-in-rome-italy-%f0%9f%87%b0%f0%9f%87%aa%f0%9f%87%ae%f0%9f%87%b9/,2026-07-14,scraped:MoALD News
50,Agriculture,PSA,"PS Dr. Kipronoh Ronoh Engages Stakeholders to Strengthen Tea Sector and Boost Farmer EarningsView moreFebruary 7, 2025.",,,,,https://kilimo.go.ke/ps-dr-kipronoh-ronoh-engages-stakeholders-to-strengthen-tea-sector-and-boost-farmer-earnings/,2026-07-14,scraped:MoALD News
51,Agriculture,PSA,"Strengthening Integrity in Kenya’s Subsidized Fertilizer ProgramView moreFebruary 6, 2025.",,,,,https://kilimo.go.ke/strengthening-integrity-in-kenyas-subsidized-fertilizer-program/,2026-07-14,scraped:MoALD News
52,Agriculture,PSA,"CS Kagwe Holds First Meeting with Departmental Heads at the Ministry of Agriculture and Livestock Development.View moreFebruary 5, 2025.",,,,,https://kilimo.go.ke/cs-kagwe-holds-first-meeting-with-departmental-heads-at-the-ministry-of-agriculture-and-livestock-development/,2026-07-14,scraped:MoALD News
53,Agriculture,PSA,"Strengthening Kenya-Iran Trade Ties: Key Talks on Tea & Livestock SectorView moreFebruary 3, 2025.",,,,,https://kilimo.go.ke/strengthening-kenya-iran-trade-ties-key-talks-on-tea-livestock-sector/,2026-07-14,scraped:MoALD News
54,Agriculture,PSA,"Kenya to Boost Cotton Production and Textile Industry Following Insights from Benin VisitView moreJanuary 29, 2025.",,,,,https://kilimo.go.ke/kenya-to-boost-cotton-production-and-textile-industry-following-insights-from-benin-visit/,2026-07-14,scraped:MoALD News
55,Agriculture,PSA,"Dr. Kipronoh Ronoh Paul, Principal Secretary of Agriculture, Visits Tebesonik Tea Factory and Charera Water Project in Kericho to Address Farmers’ Concerns and Promote Sustainable Development”View moreJanuary 25, 2025.",,,,,https://kilimo.go.ke/dr-kipronoh-ronoh-paul-principal-secretary-of-agriculture-visits-tebesonik-tea-factory-and-charera-water-project-in-kericho-to-address-farmers-concerns-and-promote-sustainable-development/,2026-07-14,scraped:MoALD News
56,Agriculture,PSA,"The PS, Dr Kipronoh Ronoh Paul,CBS, Visits Naivasha NCPB Store to Assess Fertilizer Subsidy Distribution ProgressView moreJanuary 24, 2025.",,,,,https://kilimo.go.ke/the-ps-dr-kipronoh-ronoh-paulcbs-visits-naivasha-ncpb-store-to-assess-fertilizer-subsidy-distribution-progress/,2026-07-14,scraped:MoALD News
57,Agriculture,PSA,"Transforming Lives: Historic Milestone for Cane FarmersView moreJanuary 20, 2025.",,,,,https://kilimo.go.ke/transforming-lives-historic-milestone-for-cane-farmers/,2026-07-14,scraped:MoALD News
58,Agriculture,PSA,"The sugar sector remains a key economic pillar and a livelihood source for millions, especially in western KenyaView moreJanuary 20, 2025.",,,,,https://kilimo.go.ke/the-sugar-sector-remains-a-key-economic-pillar-and-a-livelihood-source-for-millions-especially-in-western-kenya/,2026-07-14,scraped:MoALD News
59,Agriculture,PSA,"Sugar Sector Reforms Have Borne FruitsView moreJanuary 19, 2025.",,,,,https://kilimo.go.ke/sugar-sector-reforms-have-borne-fruits/,2026-07-14,scraped:MoALD News
60,Agriculture,PSA,"PS Dr. Kipronoh Ronoh Leads National Farmers’ Day Celebrations in Uasin Gishu to Highlight Agricultural TransformationView moreDecember 19, 2024.",,,,,https://kilimo.go.ke/ps-dr-kipronoh-ronoh-leads-national-farmers-day-celebrations-in-uasin-gishu-to-highlight-agricultural-transformation/,2026-07-14,scraped:MoALD News
61,Agriculture,PSA,"Streaming Distribution and Issuance of Subsidized Fertilizer Across the CountryView moreDecember 19, 2024.",,,,,https://kilimo.go.ke/streaming-distribution-and-issuance-of-subsidized-fertilizer-across-the-country/,2026-07-14,scraped:MoALD News
62,Agriculture,PSA,"PS Dr. Kipronoh Ronoh Paul,CBS, presides over the unveiling of the Narok and Bomet Counties Agripreneurs Model, a transformative initiative under NAVCDP.View moreDecember 18, 2024.",,,,,https://kilimo.go.ke/ps-dr-kipronoh-ronoh-paulcbs-presides-over-the-unveiling-of-the-narok-and-bomet-counties-agripreneurs-model-a-transformative-initiative-under-navcdp/,2026-07-14,scraped:MoALD News
63,Agriculture,PSA,"CS Dr Andrew Karanja has presided over the launch of the 2025 Long Rains National Fertilizer Subsidy Programme (NFSP) at the NCPB GPC Depot, Nairobi.View moreDecember 18, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-has-presided-over-the-launch-of-the-2025-long-rains-national-fertilizer-subsidy-programme-nfsp-at-the-ncpb-gpc-depot-nairobi/,2026-07-14,scraped:MoALD News
64,Agriculture,PSA,"The Principal secretary state department for Agriculture Dr kipronoh Ronoh Paul,CBS flags off the first batch of 1Million bags of Subsidized fertilizers.View moreDecember 18, 2024.",,,,,https://kilimo.go.ke/the-principal-secretary-state-department-for-agriculture-dr-kipronoh-ronoh-paulcbs-flags-off-the-first-batch-of-1million-bags-of-subsidized-fertilizers/,2026-07-14,scraped:MoALD News
65,Agriculture,PSA,"CS Dr. Andrew Karanja Joins H.E. President Ruto at Kimalel Goat Auction to Boost Livestock SectorView moreDecember 17, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-joins-h-e-president-ruto-at-kimalel-goat-auction-to-boost-livestock-sector/,2026-07-14,scraped:MoALD News
66,Agriculture,PSA,"CS Dr. Andrew Karanja Launches Review of National Agricultural Investment Plan to Align with Global and National PrioritiesView moreDecember 11, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-launches-review-of-national-agricultural-investment-plan-to-align-with-global-and-national-priorities/,2026-07-14,scraped:MoALD News
67,Agriculture,PSA,"Performance Evaluation for The Ministry of Agriculture and Livestock DevelopmentView moreDecember 11, 2024.",,,,,https://kilimo.go.ke/performance-evaluation-for-the-ministry-of-agriculture-and-livestock-development/,2026-07-14,scraped:MoALD News
68,Agriculture,PSA,"CS Dr. Andrew Karanja Leads Groundbreaking Ceremony in Murang’a, Championing Education, Environmental Restoration, and Sustainable FarmingView moreDecember 10, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-leads-groundbreaking-ceremony-in-muranga-championing-education-environmental-restoration-and-sustainable-farming/,2026-07-14,scraped:MoALD News
69,Agriculture,PSA,"CS Dr. Andrew Karanja Leads Consultative Meeting on Advancing Agriculture with County Leaders and World BankView moreDecember 9, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-leads-consultative-meeting-on-advancing-agriculture-with-county-leaders-and-world-bank/,2026-07-14,scraped:MoALD News
70,Agriculture,PSA,"Principal Secretary State Department for Agriculture, Dr Kipronoh Ronoh Paul Engages Farmers and stakeholders on significant coffee reforms.View moreDecember 6, 2024.",,,,,https://kilimo.go.ke/principal-secretary-state-department-for-agriculture-dr-kipronoh-ronoh-paul-engages-farmers-and-stakeholders-on-significant-coffee-reforms/,2026-07-14,scraped:MoALD News
71,Agriculture,PSA,"Regional Agriculture Ministers Gather in Mombasa to Address Threat of Migratory Pests and Desert LocustView moreDecember 6, 2024.",,,,,https://kilimo.go.ke/regional-agriculture-ministers-gather-in-mombasa-to-address-threat-of-migratory-pests-and-desert-locust/,2026-07-14,scraped:MoALD News
72,Agriculture,PSA,"The Ministry of Agriculture and Livestock Development launches Farmer registration  report 2023View moreDecember 5, 2024.",,,,,https://kilimo.go.ke/8863-2/,2026-07-14,scraped:MoALD News
73,Agriculture,PSA,"To transform agriculture, we must embrace and leverage technology.View moreDecember 5, 2024.",,,,,https://kilimo.go.ke/to-transform-agriculture-we-must-embrace-and-leverage-technology/,2026-07-14,scraped:MoALD News
74,Agriculture,PSA,"Agriculture CS Dr. Andrew Karanja Unveils 2023 Farmer Registration ReportView moreDecember 5, 2024.",,,,,https://kilimo.go.ke/agriculture-cs-dr-andrew-karanja-unveils-2023-farmer-registration-report/,2026-07-14,scraped:MoALD News
75,Agriculture,PSA,"Courtesy Call by the Agricultural Society of Kenya Delegation to the CS for Agriculture and Livestock Development, Dr. Andrew KaranjaView moreDecember 3, 2024.",,,,,https://kilimo.go.ke/courtesy-call-by-the-agricultural-society-of-kenya-delegation-to-the-cs-for-agriculture-and-livestock-development-dr-andrew-karanja/,2026-07-14,scraped:MoALD News
76,Agriculture,PSA,"CS Dr. Andrew Karanja and AGRA President Dr. Agnes Kalibata Discuss Strengthening Kenya’s Agricultural Sector Through Strategic PartnershipsView moreDecember 2, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-and-agra-president-dr-agnes-kalibata-discuss-strengthening-kenyas-agricultural-sector-through-strategic-partnerships/,2026-07-14,scraped:MoALD News
77,Agriculture,PSA,"Empowerment for Youths in Agribusiness through Transforming ecosystems for jobs in agriculture through Technology and Innovation (TEJATI) initiativeView moreNovember 29, 2024.",,,,,https://kilimo.go.ke/empowerment-for-youths-in-agribusiness-through-transforming-ecosystems-for-jobs-in-agriculture-through-technology-and-innovation-tejati-initiative/,2026-07-14,scraped:MoALD News
78,Agriculture,PSA,"Caritas Nairobi Unveils Strategic Plan 2024 with CS Dr. Andrew Karanja, Advancing Agricultural Empowerment and Community TransformationView moreNovember 28, 2024.",,,,,https://kilimo.go.ke/caritas-nairobi-unveils-strategic-plan-2024-with-cs-dr-andrew-karanja-advancing-agricultural-empowerment-and-community-transformation/,2026-07-14,scraped:MoALD News
79,Agriculture,PSA,"Ministry of Agriculture and Livestock Development Officially Launch its National Agroecology Strategy for Food Systems TransformationView moreNovember 28, 2024.",,,,,https://kilimo.go.ke/ministry-of-agriculture-and-livestock-development-officially-launch-its-national-agroecology-strategy-for-food-systems-transformation/,2026-07-14,scraped:MoALD News
80,Agriculture,PSA,"Revitalizing the agriculture sector through provision of certified and quality seeds to our farmersView moreNovember 26, 2024.",,,,,https://kilimo.go.ke/revitalizing-the-agriculture-sector-through-provision-of-certified-and-quality-seeds-to-our-farmers/,2026-07-14,scraped:MoALD News
81,Agriculture,PSA,"The government supports farmers in increasing their production through provision of subsidized fertilizer and high-quality seeds.View moreNovember 26, 2024.",,,,,https://kilimo.go.ke/government-supports-farmers-in-increasing-their-production-through-provision-of-subsidized-fertilizer/,2026-07-14,scraped:MoALD News
82,Agriculture,PSA,"CS Dr. Andrew Karanja Leads Efforts to Scale Up KIAMIS for a Digitized and Transparent Agricultural SectorView moreNovember 25, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-leads-efforts-to-scale-up-kiamis-for-a-digitized-and-transparent-agricultural-sector/,2026-07-14,scraped:MoALD News
83,Agriculture,PSA,"CS Dr. Andrew Karanja Launches Chemelil Sugar Strategic Plan 2023-2027, Paving the Way for Industry TransformationView moreNovember 22, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-launches-chemelil-sugar-strategic-plan-2023-2027-paving-the-way-for-industry-transformation/,2026-07-14,scraped:MoALD News
84,Agriculture,PSA,"Empowering our farmers is key to a resilient and food-secure KenyaView moreNovember 22, 2024.",,,,,https://kilimo.go.ke/empowering-our-farmers-is-key-to-a-resilient-and-food-secure-kenya/,2026-07-14,scraped:MoALD News
85,Agriculture,PSA,"Driving Economic Growth: Government Supports Sugar Sector Transformation Through Value Addition and Increased ProductionView moreNovember 22, 2024.",,,,,https://kilimo.go.ke/driving-economic-growth-government-supports-sugar-sector-transformation-through-value-addition-and-increased-production/,2026-07-14,scraped:MoALD News
86,Agriculture,PSA,"Government Reaffirms Commitment to Boosting Tea Sector Through Value Addition and Quality ProductionView moreNovember 22, 2024.",,,,,https://kilimo.go.ke/government-reaffirms-commitment-to-boosting-tea-sector-through-value-addition-and-quality-production/,2026-07-14,scraped:MoALD News
87,Agriculture,PSA,"CS Dr. Andrew Karanja Engages Fertilizer Association of Kenya in NairobiView moreNovember 21, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-engages-fertilizer-association-of-kenya-in-nairobi/,2026-07-14,scraped:MoALD News
88,Agriculture,PSA,"CS Dr. Andrew Karanja Meets Avocado Society of Kenya to Address Industry ChallengesView moreNovember 18, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-meets-avocado-society-of-kenya-to-address-industry-challenges/,2026-07-14,scraped:MoALD News
89,Agriculture,PSA,"Ministry of Agriculture and Livestock Development Engages Senate Committee to Advance Agricultural GrowthView moreNovember 15, 2024.",,,,,https://kilimo.go.ke/ministry-of-agriculture-and-livestock-development-engages-senate-committee-to-advance-agricultural-growth/,2026-07-14,scraped:MoALD News
90,Agriculture,PSA,"Kenya-Sweden Partnership Strengthens Agricultural Sector through Enhanced Collaboration and InnovationView moreNovember 13, 2024.",,,,,https://kilimo.go.ke/kenya-sweden-partnership-strengthens-agricultural-sector-through-enhanced-collaboration-and-innovation/,2026-07-14,scraped:MoALD News
91,Agriculture,PSA,"Strengthening Ties: EU and Kenya Forge Pathways to a Sustainable, Youth-Driven Agriculture SectorView moreNovember 12, 2024.",,,,,https://kilimo.go.ke/strengthening-ties-eu-and-kenya-forge-pathways-to-a-sustainable-youth-driven-agriculture-sector/,2026-07-14,scraped:MoALD News
92,Agriculture,PSA,"Kenya and Denmark Strengthen Agricultural TiesView moreNovember 8, 2024.",,,,,https://kilimo.go.ke/kenya-and-denmark-strengthen-agricultural-ties/,2026-07-14,scraped:MoALD News
93,Agriculture,PSA,"CS Dr. Andrew Karanja Explores Collaboration with Denmark’s Agricultural SectorView moreNovember 7, 2024.",,,,,https://kilimo.go.ke/cs-dr-andrew-karanja-explores-collaboration-with-denmarks-agricultural-sector/,2026-07-14,scraped:MoALD News
