PSA_Id,Domain,Class,English,Source,Date
21,Security & Safety,PSA,"UK Parliamentarians conclude study tour to Kenya aimed at gaining insights into global sexual and reproductive health and rights - Kenya About UNFPA UNFPA is the United Nations sexual and reproductive health agency, working to ensure every pregnancy is wanted, every childbirth is safe, and every young person’s potential is fulfilled. Kenya: Don Bosco Center Makuyu renovates facilities thanks to donor funding from Salesian Missions - Kenya",ReliefWeb Kenya,4/15/2025
22,Security & Safety,PSA,"Kenya: Scholarships help vulnerable students complete secondary education - Kenya Scholarship recipients also receive mentoring services to help ensure they successfully complete secondary education. Applications were reviewed by Kenya’s Community Scholars Advisory Committee at locations throughout the country. In the future, I want to be a surgeon.",ReliefWeb Kenya,4/16/2025
23,Security & Safety,PSA,"Kenya - Floods (DG ECHO, media, Kenya Meteorological Department) (ECHO Daily Flash of 23 April 2025) - Kenya",ReliefWeb Kenya,4/23/2025
24,Security & Safety,PSA,World Malaria Day: preventing deaths among refugee children in Kenya - Kenya,ReliefWeb Kenya,4/25/2025
25,Security & Safety,PSA,"Kenya, Garissa and Turkana Counties: Addressing water and sanitation challenges for schools and health facilities (November 2024) - Kenya",ReliefWeb Kenya,4/28/2025
26,Security & Safety,PSA,Nairobi County Refugee Integration and Community Building Strategy - Kenya,ReliefWeb Kenya,4/29/2025
27,Security & Safety,PSA,"By registering all 138,000 refugee and asylum-seeker households into a unified government database, the ESR operationalizes the Shirika Plan’s vision to transition camps into integrated settlements through socio-economic inclusion and data-driven governance.",ReliefWeb Kenya,4/30/2025
28,Security & Safety,PSA,"IRC Re:BUILD - Wave 1 RCT Research Brief - May 2025: Benefits of cash alone and cash+mentorship for Kenyan and refugee microentrepreneurs in Nairobi, Kenya - Kenya IRC Re:BUILD - Policy Brief: Access To Decent Work - A Pathway To Durable Solutions For Urban Refugees - Kenya Presentation - Supporting refugee self-reliance through large cash transfers - May 2025 - Kenya",ReliefWeb Kenya,5/8/2025
29,Security & Safety,PSA,Urban Refugee Policies and Legislation in Kenya and Uganda: 2025 Stocktake - Kenya,ReliefWeb Kenya,5/12/2025
30,Security & Safety,PSA,"Toward a Shared Future: Advancing Refugee Integration in Kenya - Kenya Strikingly, over half of these individuals were children, underscoring the urgency of sustainable, child-focused solutions. What I witnessed was not just hardship; it was a haunting reminder of the world’s failure to protect refugees.” In the camps, refugees live in overcrowded shelters, many made of tarps and tin. As implementation of the Shirika Plan begins and sets out to address the needs of refugees and host communities, refugee voices must be included and at the center of dialogue and action. For inquiries, please contact: policy@refugees.org",ReliefWeb Kenya,5/13/2025
31,Security & Safety,PSA,"Severe droughts in Kenya drive child marriage, increasing the risk of modern slavery - Kenya Climate change is worsening exploitation, highlighting the urgent need for stronger protections. Urgent action is needed to protect women and girls from exploitation The increasing frequency of extreme weather events is deepening gender inequalities, pushing women and girls further into modern slavery. Walk Free’s Global Slavery Index highlights the urgent need for targeted interventions to protect vulnerable populations, including: - Expanding social safety nets to support vulnerable families and prevent child marriage. As climate change accelerates, protecting women and girls from modern slavery must be a priority in global adaptation responses. Despite these eorts, the crisis underscored the urgent need for sustainable solutions. Everyday Heroes Leading the Fight Against Hunger - Kenya We register them in our malnutrition register, enroll them in our outpatient therapeutic or supplementary feeding program, administer deworming medication, and collaborate with community health promoters to monitor their progress”, she says. Action Against Hunger supported her with a water tank to store rainwater and installed a bio-sand water filtration system in the community to ensure clean water access.",ReliefWeb Kenya,5/15/2025
32,Security & Safety,PSA,"Weekly Bulletin on Outbreaks and Other Emergencies: Week 20: 12 -18 May 2025 (Data as reported by: 17:00; 18 May 2025) - Kenya Additionally, enhancing the diagnostic capacity of sub-national laboratories and strengthening healthcare worker training on Mpox identification and case management are critical areas requiring urgent attention.",ReliefWeb Kenya,5/18/2025
33,Security & Safety,PSA,"MSF Responds to Surge in Kala-azar cases in Wajir and Marsabit Counties in Kenya - Kenya MSF Responds to Surge in Kala-azar cases in Wajir and Marsabit Counties in Kenya - Kenya Since late 2024, Marsabit and Wajir counties, in the arid north-eastern region of Kenya, have been experiencing a significant surge in cases of Kala-azar, also known as Visceral Leishmaniasis. This shortage severely hindered timely treatment and control of the disease in the affected communities at the start of the surges. Health care workers not always knowing how to diagnose reduced the capacity to respond quickly at the initial stages of the surges leading to untimely loss of lives” said Hussein Mohammed, acting neglected tropical disease coordinator in Wajir County. A call for greater attention and resources for neglected tropical diseases “This outbreak is a reminder that neglected diseases do not just affect health, they expose deep inequalities in healthcare access,” reiterates Maureen Muchanga, MSF medical team lead in Wajir. “Without proper vector control, accurate diagnosis, affordable treatment, and enough trained healthcare workers, kala azar detection and care remain delayed and difficult with human cost.” The surges in Wajir and Marsabit have once again shown the human impact of neglected diseases.",ReliefWeb Kenya,5/20/2025
34,Security & Safety,PSA,"Project Brief: Enhancing Soil Health and Agroecology in Kenya - May 2025 - Kenya Kenya launches 'Early Warnings for All' initiative to enhance disaster preparedness - Kenya Kenya launches 'Early Warnings for All' initiative to enhance disaster preparedness - Kenya Nairobi, Kenya - May 21, 2025 - Today, Kenya officially took a major step towards protecting lives and livelihoods from disasters through its national launch of the Early Warnings for All (EW4All) initiative. The launch of EW4All in Kenya underscores the urgent need to shift from reactive disaster response to proactive anticipatory action, while ensuring that no one is left behind when disasters strike. Let us therefore unite, collaborate, engage, and build an Early Warning System in Kenya that will reduce loss of life and livelihoods, bolster food security, and build a more resilient Kenya for generations to come"". She also announced that ""5 percent of the national Disaster Risk Management budget will be allocated to upgrading early warning systems across all relevant institutions"". Kenya is not new to early warning systems and has been making notable progress in advancing this work. To strengthen inclusive early warning in the country, the workshop will provide a platform to coordinate efforts, strengthen disaster governance, and enhance Kenya's capacity for real-time monitoring and forecasting of natural hazards. Early warning systems are among the most effective measures for reducing disaster risks and building resilience.",ReliefWeb Kenya,5/21/2025
35,Security & Safety,PSA,"Kenya steps up national cholera preparedness and response - Kenya Community health promoters have visted her, checking on her recovery and educating her family and neighbours on using water purification tablets, proper handwashing, avoiding cold food and maintaining hygiene at food preparation areas and toilets. Refugees in Kenya at risk of worsening hunger as WFP faces critical funding shortfall - Kenya A GAM rate over 10 percent is classed as a nutrition emergency, particularly in refugee settings, meaning urgent intervention is required to prevent life-threatening complications from malnutrition. “Food assistance is a vital safety net, and we remain committed to doing all we can to support refugees who are trying to rebuild their lives in safety.” WFP urgently requires US$44 million to provide full rations and restore cash assistance for all refugees through August. Follow us on X, formerly Twitter, via @wfp_media @wfp_africa @wfp_kenya For more information please contact (email address: firstname.lastname@wfp.org): Mercy Juma, WFP/ Nairobi; Tel: +254 704 723 762",ReliefWeb Kenya,5/22/2025
36,Security & Safety,PSA,"Lancet research finds glasses still out of reach for millions of people - Kenya Dr May Ho, Optometry and Primary Care Advisor at The Fred Hollows Foundation, said the findings reflect that not enough was being done to address persistent and preventable inequity. “We are working to change this, but without urgent, coordinated action across governments, global institutions, philanthropy and the private sector, the most disadvantaged people will continue to be left behind.",ReliefWeb Kenya,5/23/2025
37,Security & Safety,PSA,CADIS and Tzu Chi Deliver Relief to Flood-Hit Communities in Kenya - Kenya,ReliefWeb Kenya,5/26/2025
38,Security & Safety,PSA,"Kisumu County sought assistance for cholera control on 2 May and flood response on 14 May, following earlier appeals including a public notice by the Cabinet Secretary for Health. Following further floods alerts, on 16 May, the government ordered evacuations in Tana River and Garissa after Kiambere Dam overflowed and KRCS was called to support as well. In parallel, both the upsurge of cases and death for cholera and Leishmaniasis pose a serious threat to the communities in the past quarter.",ReliefWeb Kenya,5/27/2025
39,Security & Safety,PSA,Kenya – Flow Monitoring Dashboard Round 3 (January-March 2025) - Kenya,ReliefWeb Kenya,5/28/2025
40,Security & Safety,PSA,Kenya – Solutions and Mobility Index – Turkana and Garissa counties (September - November 2024) - Kenya,ReliefWeb Kenya,5/31/2025
41,Security & Safety,PSA,Enhancing reproductive health services through on-site mentorship in Kenya - Kenya,ReliefWeb Kenya,6/1/2025
42,Security & Safety,PSA,Between drought and deluge: the fragility of ‘resilience’ in Kakuma Refugee Camp - Kenya,ReliefWeb Kenya,6/3/2025
43,Security & Safety,PSA,"Regional Report 2024: Regional Program on Enhancing the Investment Climate for the Economic Empowerment of Refugee, Returnee and Host/Return Community Women in the East and Horn of Africa and Great Lakes Region - Kenya Strengthening Quality of Healthcare in Refugee Camps: Tracking the ISO 15189:2022 Accreditation Journey of Ammusait General Level 4 Hospital Laboratory in Kakuma - Kenya Ammusait has a bed capacity of 180, which, at times, is stretched beyond capacity and can reach up to 300 admissions during surges. This collaboration ensured alignment with best practices and strengthened community health responses, particularly in addressing COVID-19 and routine healthcare needs. Annex: Roadmap 2024 -Regional Program on Enhancing the Investment Climate for the Economic Empowerment of Refugee, Returnee and Host/Return Community Women in the East and Horn of Africa and Great Lakes Region - Kenya",ReliefWeb Kenya,6/4/2025
44,Security & Safety,PSA,‘Consensual’ Women Trafficking in Kenya: Can Intersectional Feminism Provide a Solution? - Kenya,ReliefWeb Kenya,6/5/2025
45,Security & Safety,PSA,"Recurring Fire Tragedies in Kenya, from Reaction to Prevention - Kenya",ReliefWeb Kenya,6/9/2025
46,Security & Safety,PSA,Efficiency Gains in Cash and Voucher Assistance (CVA) in Eastern Africa: Examples from Kenya and Uganda - Kenya,ReliefWeb Kenya,6/10/2025
47,Security & Safety,PSA,"Research Briefs: Results From Re:BUiLD’s Wave 1 Randomized Control Trials (RCTs) On Mentorship And Cash Grants For Microentrepreneurs in Nairobi, Kenya and Kampala, Uganda - Kenya",ReliefWeb Kenya,6/11/2025
48,Security & Safety,PSA,Solutions Brief: Community Advocacy Champions - Kenya,ReliefWeb Kenya,6/13/2025
49,Security & Safety,PSA,Dadaab and Kakuma Refugee Camp in Kenya | Joint Market Monitoring Initiative (JMMI) Q4 (October - December 2024) - Kenya,ReliefWeb Kenya,6/17/2025
50,Security & Safety,PSA,GIEWS Country Brief: Kenya 18-June-2025 - Kenya,ReliefWeb Kenya,6/19/2025
51,Security & Safety,PSA,CGD Policy Paper 358 - Urban Refugee Policies and Legislation in Kenya and Uganda: 2025 Stocktake - May 2025 - Kenya,ReliefWeb Kenya,6/20/2025
52,Security & Safety,PSA,TOR: Kenya Environmentally Sustainable Logistics Working Group (WREC) - Kenya,ReliefWeb Kenya,6/24/2025
53,Security & Safety,PSA,"Starvation closing in: Urgent help needed in Kenya’s refugee camps - Kenya Starvation closing in: Urgent help needed in Kenya’s refugee camps - Kenya The U.S. Should this continue, refugees in Kenya will face the specter of a widespread, man-made famine. They are now left to languish in open-air prisons.” WFP warns that August brings an additional wave of uncertainty if the agency does not receive immediate funding. The agency states that it urgently requires 44 million USD to provide full rations and cash assistance for all refugees in Kenya through August.",ReliefWeb Kenya,6/25/2025
54,Security & Safety,PSA,"The exercise successfully registered 138,056 households (828,331 individuals) into the ESR.",ReliefWeb Kenya,6/27/2025
55,Security & Safety,PSA,"IRC Re:BUILD - Policy Brief: The Impact of Cash Grants and Cash + Mentorship on Kenyan and Refugee Business Owners in Nairobi, Kenya - June 2025 - Kenya Reaching Last Mile with Early Warning Information for Anticipatory Action - Kenya Reaching Last Mile with Early Warning Information for Anticipatory Action - Kenya In 2024, World Vision (WV) implemented a pilot project on Anticipatory Action (AA) in Marsabit County, Kenya, focusing on communities where WV has ongoing long-term development programming. Kenya: Registered refugees and asylum-seekers (as of 30 June 2025) - Kenya",ReliefWeb Kenya,6/30/2025
56,Security & Safety,PSA,"Kenya: Deaths during protests deeply concerning - Kenya Under international human rights law, lethal force by law enforcement officers, such as firearms, should only be used when strictly necessary in order to protect life or prevent serious injury from an imminent threat. The rights of peaceful assembly and freedom of expression are cornerstones of the rule of law and must be respected and upheld by all. Re:BUiLD Year 4 Annual Report - Kenya",ReliefWeb Kenya,7/1/2025
57,Security & Safety,PSA,"EHAGL Region: Community Feedback Analysis Report, October - December 2024 - Kenya Continued efforts are needed to sustain and improve response rates, ensure timely resolution of community concerns, and maintain open, accessible feedback channels across all operations.",ReliefWeb Kenya,7/7/2025
58,Security & Safety,PSA,"Kenya: Concerns over deaths in protests - Kenya UN High Commissioner for Human Rights Volker Türk renews his call for calm and restraint, and full respect for the freedoms of expression, association and peaceful assembly. The High Commissioner repeats his call for all reported killings and other alleged violations and abuses of international human rights law, including with respect to use of force, to be promptly, thoroughly, independently and transparently investigated. Those responsible must be held to account. Under international human rights law, intentional lethal force by law enforcement officers, including with firearms, should only be used when strictly necessary to protect life from an imminent threat.",ReliefWeb Kenya,7/8/2025
59,Security & Safety,PSA,"Jumale, who is in charge of VSLAs in the area, noticed a significant difference in the community. EHAGL Region: Community Feedback Analysis Report, January - March 2025 - Kenya This surge underscores the growing needs of communities amidst constrained resources and highlights the urgency for timely and targeted responses.",ReliefWeb Kenya,7/9/2025
60,Security & Safety,PSA,"Republic of Korea rice donation provides critical boost to WFP's emergency response for refugees in Kenya | World Food Programme - Kenya Republic of Korea rice donation provides critical boost to WFP’s emergency response for refugees in Kenya - Kenya Follow us on X @wfp_kenya, @wfp_africa, @wfp_media For more information please contact (email address: firstname.lastname@wfp.org): Mercy Juma, WFP/Nairobi, Mob +254 704 723 762",ReliefWeb Kenya,7/11/2025
61,Security & Safety,PSA,"Navigating Cultural and Traditional Barriers in Qualitative Data Collection - Kenya The conclusion argues for an adaptive, reflexive, and ethically grounded approach to qualitative research that ensures both data quality and respect for community norms.",ReliefWeb Kenya,7/12/2025
62,Security & Safety,PSA,"Job losses and aid cuts leave Dadaab refugees uncertain of their future - Kenya “When I’m walking that debt nags me with worry because when I pass the shop when go along that road every day, and the shop owner says – I still haven’t been paid, why are you avoiding me…and he subjects me to lots of questions. Abbas Abdullahi Abdi, deputy head of the Ifo Camp Youth Umbrella, warned of rising insecurity.",ReliefWeb Kenya,7/22/2025
63,Security & Safety,PSA,"Aligned with the Shirika Plan, the Refugee Act of 2021, and the national vision for expanding social protection to the most vulnerable, the exercise successfully registered 102,177 households—representing 510,885 individuals—into the ESR.",ReliefWeb Kenya,7/23/2025
64,Security & Safety,PSA,"The System is Folding in on Itself : The Impact of U.S. Global Health Funding Cuts - Kenya For example, there are reports that some of the girls participating in the U.S.-funded DREAMS program, which ensured that 66,000 girls remained HIV-free over three years, have started to engage in sex work for survival after this vital support ended. The country also faces a serious risk of resurgence of malaria, HIV/AIDS, and vaccine-preventable diseases due to disruptions in treatment and prevention.",ReliefWeb Kenya,7/24/2025
65,Security & Safety,PSA,"DRC - Learning Brief: Leveraging the Self-Reliance Index for Livelihoods Impact Assessment - Kenya When some beneficiaries couldnʼt be reached, replacing them with others from beneficiary list with slightly increased sample size, ensured data collection remained on track.",ReliefWeb Kenya,7/28/2025
66,Security & Safety,PSA,"Kenya - Humanitarian situation in refugee camps (DG ECHO, DRC) (ECHO Daily Flash of 29 July 2025) - Kenya USCRI calls for immediate action as refugees face man-made starvation crisis in Kenya - Kenya Desperate cries for food and survival must not be met with silence or with force. Despite unprecedented cuts to food rations in June, WFP’s urgent appeal for funding to restore full rations and cash assistance went unanswered. We must act immediately to reverse these deadly funding gaps.",ReliefWeb Kenya,7/29/2025
67,Security & Safety,PSA,AIRA Infodemic Trends Report 26 June - 9 July 2025 - Kenya,ReliefWeb Kenya,7/31/2025
68,Security & Safety,PSA,"Kenya | Joint Market Monitoring Initiative (JMMI) Market Overview, Q1 (January - March, 2025) - Kenya Kenya - Key Message Update: Short improvement from long rains amid forecast below-average short rains, July 2025 - Kenya",ReliefWeb Kenya,8/1/2025
69,Security & Safety,PSA,"The ever-harsher climate, including sometimes intense rains and floods, has been a wakeup call for Kenya’s new generation of pastoralists: pushing them to adapt their ancestral livelihood to a fast-changing world.",ReliefWeb Kenya,8/4/2025
70,Security & Safety,PSA,"Kenya achieves elimination of human African trypanosomiasis or sleeping sickness as a public health problem - Kenya Supported by WHO and partners, including FIND, Kenya’s HAT elimination programme will now implement a post-validation surveillance plan to detect any potential resurgence or reintroduction of transmission. WHO continues to support ongoing monitoring in previously affected areas and maintains a stock of medicines to ensure rapid treatment of possible future cases, thanks to donations from Bayer AG and Sanofi.",ReliefWeb Kenya,8/8/2025
71,Security & Safety,PSA,"Beyond these efforts, there is an urgent need for Mpox vaccination to reduce the spread of the disease. MSF is ready and willing to support vaccination efforts in Mombasa, and we urge the Ministry of Health to swiftly make vaccines available there, as well as in other counties with high caseloads,” says Laura Gómez Mantilla, MSF Country Director in Kenya. “To effectively control the Mpox outbreak within communities, it remains urgent to strengthen community-level case detection and referral systems, and to address stigma through health education and outreach that encourages early care-seeking.” Caroline reiterates.",ReliefWeb Kenya,8/12/2025
72,Security & Safety,PSA,"Kenya Population Movement, DREF Operation No: MDRKE064 Final Report - Kenya",ReliefWeb Kenya,8/18/2025
73,Security & Safety,PSA,"IFRC launches Zero Hunger Campaign to drive durable food security across Africa - Kenya For Africa, it’s a rallying call to end hunger by harnessing local ingenuity, climate-smart practices, and sustainable livelihoods."" Durable solutions, African leadership Launched in Kenya, Ethiopia, DRC, Mali, Nigeria, and Zimbabwe, the campaign is grounded in SDG 2, the AU’s Agenda 2063, and the Malabo Declaration.",ReliefWeb Kenya,8/19/2025
74,Security & Safety,PSA,"Kenya: Rapid Assessment — Mandera County (Data collected 15-17 August 2025) - Kenya As of 19 August 2025, 492 refugee households (approximately 2.952 individuals) were registered by Kenya Red Cross Society (KRCS) in three refugee camps (namely, Barwaaqo Secondary School, Shafshafey Secondary School and Duse Primary School).",ReliefWeb Kenya,8/20/2025
75,Security & Safety,PSA,Dadaab businesses close as aid cuts shut down refugee economy - Kenya,ReliefWeb Kenya,8/22/2025
76,Security & Safety,PSA,"Countries in Africa risk running out of ‘wonder’ food over the next 3 months due to aid cuts - Kenya But despite the needs, only 39% of the required nutrition funding for 2025 has been received, with the UN warning that September marks a critical turning point, with most aid agencies likely to face significant disruption to their nutrition programmes or be forced to scale down their support [7]. He was urgently admitted to a Save the Children supported stabilisation centre with malnutrition after being screened at home by Save the Children community worker Hafsa*. Save the Children is calling on the international community to ensure children who are severely malnourished can receive the urgent support they need by increasing flexible funding to treat severe acute malnutrition and strengthening national and global supply chains.",ReliefWeb Kenya,8/28/2025
77,Security & Safety,PSA,Pathways to Employment - Kenya Report - August 2025 - Kenya ILO Brief - Constructing pathways: Enhancing employment and inclusion of host communities and urban refugees in Kenya’s construction sector (August 2025) - Kenya,ReliefWeb Kenya,8/31/2025
78,Security & Safety,PSA,"Immediate intervention is essential to rehabilitate water infrastructure, deploy emergency sanitation, contain disease outbreaks, and ensure inclusive access for persons with disabilities and elderly populations to prevent further public health deterioration.",ReliefWeb Kenya,9/1/2025
79,Security & Safety,PSA,Somali refugees in Dadaab don’t have enough to eat after aid cuts - Kenya,ReliefWeb Kenya,9/2/2025
80,Security & Safety,PSA,ILO Brief - Embracing innovation and inclusion: Strengthening Kenya’s beauty sector for host communities and urban refugees - Kenya,ReliefWeb Kenya,9/3/2025
81,Security & Safety,PSA,"Kenya: IPC Acute Food Insecurity and Acute Malnutrition Analysis (July 2025 - January 2026) Published on 8 September 2025 - Kenya Of the projected 2.1 million people in urgent need of assistance, around 2 million are expected to be in Phase 3, while approximately 160,000 will be in Phase 4. Similar observations are registered among pregnant and breast-feeding women (PBW), with the numbers suffering acute malnutrition and in need of treatment reduced from 112,401 in 2024 to the current 109,462—reflecting a 2.6 percent reduction.",ReliefWeb Kenya,9/8/2025
82,Security & Safety,PSA,"Kenya Food Security Outlook Update: Food insecurity in pastoral areas to worsen amid forecast below-average short rains, August 2025 - Kenya",ReliefWeb Kenya,9/9/2025
83,Security & Safety,PSA,"Feeding the future: Africa surges ahead on school meals - Kenya Now, with the farmer-supplied meals, he says, “we have noticed that the enrolment of the school is growing.” Adapting to crises Despite these strides, challenges remain in ensuring Africa’s students get the meals they need. The Kenya Cash Consortium Alert-Based Cash Assistance to Disaster-Affected Communities in Garissa and Turkana Counties: Endline (May 2025) - Kenya",ReliefWeb Kenya,9/10/2025
84,Security & Safety,PSA,"Contraceptive stocks dwindle in Kenya, affecting most vulnerable women - Kenya 6 Years on: how a water access project impacted lives in Churo, Kenya - Kenya Access points were also improved with the construction of a water kiosk and a community water point to ensure that clean water is readily available to residents. How sustainability was achieved To ensure sustainability, a 10 -member Water Management Committee (WMC), comprising 4 women and 6 men was formed and trained in system operation, maintenance and financial management. The current committee, composed of 13 members (5 men and 8 women), is operating effectively, with continuity ensured by retaining the trained borehole operators.",ReliefWeb Kenya,9/11/2025
85,Security & Safety,PSA,"Research Terms of Reference: Exploring Climate Resilient Livelihoods Among Refugees and Host Communities in Kenya and Uganda, REG2502 (January 2025, V1.0) - Kenya",ReliefWeb Kenya,9/12/2025
86,Security & Safety,PSA,"Africa Zero Hunger: The empowering journey of Mtakuja's women farmers - Kenya This campaign champions community-led durable solutions and calls for urgent investment in sustainable programmes that harness local resilience to tackle the root causes of food insecurity across the continent. The loss was a harsh reminder of the ongoing human-wildlife conflict in the region. Kenya bolsters polio and measles surveillance with cutting-edge KEMRI laboratory - Kenya These labs ensure that stool and environmental samples are quickly tested for polioviruses, guiding immunization campaigns and outbreak response. Kenya has not reported circulating variant poliovirus type 2 (cVDPV2) cases in the past 15 months, and continued surveillance and Kenya’s strengthened laboratory capacity will help sustain this momentum and ensure no resurgence. For Additional Information or to Request Interviews, Please contact: Monge Marta Villa Communications Officer Polio Eradication Programme WHO Regional Office for Africa Email: mongem@who.int Tel: + 34 636 04 76 79",ReliefWeb Kenya,9/16/2025
87,Security & Safety,PSA,"Early Action Protocol Activation: Kenya Drought (EAP №: EAP2022KE02, Operation №: MDRKE055) - Kenya Based on a range of early warning indicators monitored through the drought early warning system, all the 23 ASAL counties are in the ‘Normal’ phase, albeit the conditions have started deteriorating in nine (9) counties including Garissa, Mandera, Tana River, Turkana, Baringo, Meru, Nyeri and Kitui (Figure 1a).",ReliefWeb Kenya,9/17/2025
88,Security & Safety,PSA,"Kenya: One-third of children found to be malnourished in Turkana as aid cuts, crocodile attacks compound hunger crisis - Kenya",ReliefWeb Kenya,9/18/2025
89,Security & Safety,PSA,"International Medical Corps Receives $6.3 Million Grant from Takeda to Improve Health Delivery in Kenya and Somalia - Kenya PIMS helps to ensure that the right items are available in the right place at the right time, immediately improving service delivery, saving lives and restoring trust in health systems.",ReliefWeb Kenya,9/23/2025
