PSA_ID,Domain,Sub_Category,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata,Origin_File,Region,PSA_Score,Notice_Style,Needs_Native_Review
11,Governance,Public Service Delivery,The latest news and headlines from the Ethics and Anti-Corruption Commission.,Habari za karibuni na vichwa vya habari kutoka Tume ya Maadili na Kupambana na Ufisadi.,,Weche manyien kod weche madongo moa e Commission for Ethics and Anti-Corruption.,Wararkii ugu dambeeyay iyo cinwaanada laga helay Guddiga anshaxa iyo la dagaalanka musuqmaasuqa.,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
12,Governance,Public Service Delivery,"EACC, Chinese anti-corruption agency explore closer…","EACC, shirika la Kichina la kupambana na ufisadi kuchunguza karibu...",,"EACC, ma en riwruok mar China ma kedo gi mibadhi, nono weche machiegni...","EACC, hay'adda Shiinaha ee la dagaalanka musuqmaasuqa ayaa si dhow u baaraysa...",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
13,Governance,Public Service Delivery,EACC CEO calls for stronger regional…,Mkurugenzi Mtendaji wa EACC anataka nguvu za kikanda...,,Jatend EACC dwaro ni ji obed gi teko e alwora...,Maamulaha EACC wuxuu ku baaqay in la xoojiyo...,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
14,Governance,Public Service Delivery,07:07:2026: The Ethics and Anti-Corruption Commission (EACC) Chief…,07:07:2026: Mkuu wa Tume ya Maadili na Kupambana na Ufisadi (EACC)...,,07:07:2026: Jatend Komiti mar Timbe Malong'o kod Migawo mar Kedo gi Mibadhi (EACC)...,07:07:2026: Guddoomiyaha Guddiga anshaxa iyo la dagaalanka musuqmaasuqa (EACC)...,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
15,Governance,Public Service Delivery,06:07:2026: The Ethics and Anti-Corruption Commission (EACC) will…,06:07:2026: Tume ya Maadili na Kupambana na Ufisadi (EACC) ita...,,6:07:2026: Komiti mar Timbe Maler kod Loso Timbe mag Mibadhi (EACC) biro...,06:07:2026: Guddiga anshaxa iyo la dagaalanka musuqmaasuqa (EACC) ayaa...,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
16,Governance,Public Service Delivery,"EACC, CAJ strengthen partnership to advance…","EACC, CAJ kuimarisha ushirikiano ili kuendeleza...",,"EACC, CAJ jiwo riwruok mar oganda mondo omi...","EACC, CAJ waxay xoojineysaa iskaashiga si loo horumariyo...",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
17,Governance,Public Service Delivery,CAJ Vice Chairperson Ms. Dorothy Jemator with EACC…,Makamu wa Rais wa CAJ Bi Dorothy Jemator kutoka EACC...,,Nyaminwa Dorothy Jemator ma en jalup bura mar EACC...,Gudoomiye ku xigeenka CAJ Ms Dorothy Jemator oo ka tirsan EACC...,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
18,Governance,Public Service Delivery,"Information can be provided to EACC in writing, by telephone or by presenting it personally to the Commission's Report Centre at Integrity Centre in Nairobi and any of our Regional Offices. The Commission's contact details are listed below. One can also pass on information anonymously to the Commission through the Anonymous Whistleblower's System on this Website.","Habari inaweza kutolewa kwa EACC kwa maandishi, kwa simu au kwa kuwasilisha binafsi kwa Kituo cha Ripoti ya Tume katika Kituo cha Uadilifu katika Nairobi na yoyote ya ofisi zetu za kikanda. maelezo ya mawasiliano ya Tume ni hapa chini.",,"Weche inyalo chiw ne EACC e yo ma nondiki, kokalo kuom simo kata kuom chiwo weche e yo ma ng'ato owuon ne Commission's Report Centre e Integrity Centre e Nairobi kod e ofisewa mag alwora.","Macluumaadka waxaa loo siin karaa EACC qoraal ahaan, taleefanka ama adigoo si shaqsi ah u soo gudbinaya Xarunta Warbixinta ee Komishanka ee Xarunta Daacadnimada ee Nairobi iyo mid ka mid ah Xafiisyadeena Gobolka.",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
19,Governance,Public Service Delivery,Kenya Ethics and Anti-Corruption Academy,Kenya Ethics and Anti-Corruption Academy,,Kenya Ethics and Anti-Corruption Academy,Akadeemiyada Kenya ee anshaxa iyo la dagaalanka musuqmaasuqa,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
20,Governance,Public Service Delivery,"EACC, Chinese anti-corruption agency explore closer cooperation in graft fightRead More","EACC, shirika la China kupambana na ufisadi kuchunguza ushirikiano wa karibu katika kupambana na ufisadiSoma zaidi",,"EACC, riwruok mar China mar kedo gi mibadhi, nono kaka inyalo medo tiyo gi yore mopogore opogore mar kedo gi mibadhi","EACC, hay'adda ka hortagga musuqmaasuqa ee Shiinaha ayaa baaraya iskaashi dhow oo la xiriira la dagaalanka musuqmaasuqaRead More",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
21,Governance,Public Service Delivery,EACC CEO calls for stronger regional cooperation to combat corruption in the fisheries sectorRead More,Mkurugenzi Mtendaji wa EACC anataka ushirikiano wa kikanda wenye nguvu kupambana na ufisadi katika sekta ya uvuviSoma zaidi,,Jatelo maduong' mar EACC dwaro ni riwruok mar oganda Jehova omed bedo motegno e kedo gi mibadhi e weche mag uso rech,Maamulaha EACC wuxuu ku baaqay in la xoojiyo iskaashiga gobolka si loola dagaallamo musuqmaasuqa ee ka jira qeybta kalluumaysigaRead More,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
22,Governance,Public Service Delivery,"EACC, CAJ strengthen partnership to advance integrity and good governanceRead More","EACC, CAJ kuimarisha ushirikiano ili kuendeleza uadilifu na utawala mzuriSoma zaidi",,"EACC, CAJ jiwo riwruok mar oganda Jehova mondo okony e miyo winjruok obed maber kod locho maber","EACC, CAJ waxay xoojineysaa iskaashiga si loo horumariyo daacadnimada iyo maamulka wanaagsanRead More",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
23,Governance,Public Service Delivery,EACC CEO joins multi-agency leaders to advance Kenya’s FATF grey list exitRead More,Mkurugenzi Mtendaji wa EACC kujiunga na viongozi wa mashirika mengi ili kuhamasisha Kenya kutoka orodha ya FATF ya kijivuSoma zaidi,,CEO mar EACC oriwore gi jotelo mag riwruoge mang'eny mondo gitim dongruok e wuok mar Kenya e list mar FATFRead More,Maamulaha EACC wuxuu ku biiray hoggaamiyeyaasha hay'adaha badan si ay u horumariyaan Kenya  Liiska Grey ee FATFRead More,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
24,Governance,Public Service Delivery,EACC CEO elected to AAACA Executive CommitteeRead More,Mkurugenzi Mtendaji wa EACC kuchaguliwa katika Kamati ya Utekelezaji ya AAACASoma zaidi,,Jatend EACC oyier e Komiti Maduong' mar AAACASom Manyien,Maamulaha EACC ayaa loo doortay Guddiga Fulinta AAACARead More,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
25,Governance,Public Service Delivery,"AAACA, World Bank sign anti-corruption cooperation framework in AfricaRead More","AAACA, Benki ya Dunia saini mfumo wa ushirikiano kupambana na ufisadi katika AfrikaSoma zaidi",,"AAACA, World Bank ndiko mar tich mar kedo gi mibadhi e AfrikaSom Medo","AAACA, Bangiga Adduunka ayaa saxiixay qaab-dhismeedka iskaashiga la dagaalanka musuqmaasuqa ee AfrikaRead More",EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
26,Governance,Public Service Delivery,Continental anti-corruption research centre launched in NairobiRead More,Kituo cha utafiti wa kupambana na ufisadi cha bara kimezinduliwa NairobiSoma zaidi,,Centrum mar timo nonro e lweny gi mibadhi ma ne ochakore e piny Kenya ochak e Nairobi,Xarunta cilmi baarista ee la dagaalanka musuqmaasuqa ee qaaradda ayaa laga bilaabay NairobiRead More,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
27,Governance,Public Service Delivery,8th Annual General Assembly of the African Association of Anti-Corruption AuthoritiesRead More,Mkutano Mkuu wa 8 wa Mwaka wa Chama cha Afrika cha Mamlaka ya Kupambana na UfisadiSoma zaidi,,Chokruok Maduong' mar Aboro mar Bura mar Jo-Afrika Matayo Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo mar Migawo,Shirweynaha guud ee 8-aad ee Ururka Afrika ee la dagaalanka musuqmaasuqaRead More,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
28,Governance,Public Service Delivery,EACC concludes Eid ul-Adha Maadili Cup Tournament in GarissaRead More,EACC yafunga mashindano ya Eid ul-Adha Maadili Cup huko GarissaSoma zaidi,,EACC tieko tuke mag Eid ul-Adha Maadili Cup e Garissa,EACC waxay ku soo gunaanatay tartanka koobka Eid ul-Adha Maadili ee GarissaRead More,EACC,2026-07-11,https://www.eacc.go.ke/,psa_dataset_v1.csv,,,,True
29,Governance,Anti-Corruption Initiatives,This system ensures that a person’s identity as a whistle blower is hidden and that their report remains confidential and can only be accessed by EACC.,Mfumo huu unahakikisha kwamba utambulisho wa mtu kama whistleblower ni siri na kwamba ripoti yao inabaki kuwa ya siri na inaweza kupatikana tu na EACC.,,"Sirni miyo ng'ato bedo gi ng'eyo maling'ling' mar ng'at ma hulo weche, kendo miyo ripot mare bedo maling'ling' kendo en mana EACC kende ema nyalo yudo ripotno.",Nidaamkani wuxuu hubiyaa in aqoonsiga qofka sida qofka soo sheegaya wararka la qarinayo iyo in warbixintiisa ay tahay mid qarsoodi ah oo kaliya oo ay heli karto EACC.,EACC,2022-01-31,https://eacc.go.ke/default/faqs/,governance_psa_dataset.csv,,,,True
30,Governance,Anti-Corruption Initiatives,The Commission has put in place various mechanisms to ensure that staff uphold integrity at all times.,Tume imeanzisha mifumo mbalimbali ili kuhakikisha kwamba wafanyakazi huendelea kuwa waaminifu wakati wote.,,"Kuom ranyisi, ne oketo chenro mar rito tim makare mar jotich wetene.",Komishanku wuxuu sameeyay habab kala duwan si loo hubiyo in shaqaalaha ay ilaaliyaan daacadnimada waqti kasta.,EACC,2022-01-31,https://eacc.go.ke/default/faqs/,governance_psa_dataset.csv,,,,True
31,Governance,Anti-Corruption Initiatives,Any wayward officers suspected to be engaging in corrupt conduct or other unethical practices should be reported to the Commission promptly.,Afisa wowote wa uasi wanaoshukiwa kuwa na tabia mbaya au mazoea mengine yasiyo ya maadili wanapaswa kuripotiwa kwa haraka kwa Tume.,,Owete gi nyimine ma nigi paro maok kare onego ochiw ripot mapiyo ne Commission kuom wach bedo gi timbe maricho kata timbe mamoko maok nyis luor.,Sarkaal kasta oo xadgudubka ah oo lagu tuhmo inuu ku lug leeyahay dhaqanka musuqmaasuqa ama dhaqan kale oo aan anshaxa lahayn waa in si dhakhso leh loo soo sheegaa Komishanka.,EACC,2022-01-31,https://eacc.go.ke/default/faqs/,governance_psa_dataset.csv,,,,True
32,Governance,Anti-Corruption Initiatives,"Such an approach must combine law enforcement, strengthening institutions, promoting good governance, and conducting public education.","Njia hiyo inapaswa kuunganisha kutekeleza sheria, kuimarisha taasisi, kukuza utawala mzuri, na kuendesha elimu ya umma.",,"Yo ma kamano onego oriw lwedo chike, jiwo riwruoge, jiwo loch maber, koda puonjo ji.","Qaabkan waa inuu isku darayaa sharciga, xoojinta hay'adaha, horumarinta maamulka wanaagsan, iyo waxbarashada dadweynaha.",EACC,2022-01-31,https://eacc.go.ke/default/faqs/,governance_psa_dataset.csv,,,,True
33,Governance,Anti-Corruption Initiatives,"This Chapter requires persons seeking public office to be selected on the basis of personal integrity, competence and suitability.","Sura hii inahitaji watu wanaotafuta nafasi za umma kuchaguliwa kwa msingi wa utimilifu wa kibinafsi, uwezo na kufaa.",,Sula mar 10 nyaka 20 biro miyo joma dwaro bedo jotelo mag sirkal oyud thuolo mar bedo jotelo mag sirkal.,"Cutubkan waxaa looga baahan yahay in dadka doonaya in ay qabtaan xilka dawladda lagu doorto iyadoo lagu saleynayo daacadnimada shaqsiyadeed, aqoonta iyo ku habboonida.",EACC,2022-01-31,https://eacc.go.ke/default/faqs/,governance_psa_dataset.csv,,,,True
34,Governance,Anti-Corruption Initiatives,The Commission conducts sensitization for festival trainers guiding the development of scripts in various institutions and adjudicators to ensure integrity in the adjudication process.,Tume hufanya ufahamu kwa ajili ya walimu wa tamasha kuongoza maendeleo ya maandishi katika taasisi mbalimbali na mahakimu ili kuhakikisha uadilifu katika mchakato wa mahakama.,,Komisiono timo kinda mar konyo jogo matiego jopuonj mag festival mondo ong'e kaka ginyalo loso weche manie ndiko e riwruoge mopogore opogore kod joma loso bura mondo omi weche duto obed maler e bwo loch.,"Komishanku wuxuu u qabtaa wacyi galinta tababarayaasha xafladaha, isagoo hagida u siinaya horumarinta qoraallada hay'adaha kala duwan iyo garsoorayaasha si loo hubiyo daacadnimada geedi socodka garsoorka.",EACC,2022-01-31,https://eacc.go.ke/default/integrity-clubs/,governance_psa_dataset.csv,,,,True
35,Governance,Anti-Corruption Initiatives,This encourages the youth to uphold personal integrity and raise awareness on ethical conduct among their peers.,Hilo huwachochea vijana kudumisha utimilifu wao na kuwajulisha wenzao kuhusu mwenendo mzuri.,,Mano jiwo rowere mondo osik ka gimakore gi tim makare kendo gibed gi paro mowinjore e kind mbesegi.,Tani waxay dhalinyarada ku dhiiri gelisaa inay ilaaliyaan daacadnimada shaqsiyadeed iyo inay u ogaadaan sida ay dabeecadda wanaagsan u leeyihiin asxaabtooda.,EACC,2022-01-31,https://eacc.go.ke/default/integrity-clubs/,governance_psa_dataset.csv,,,,True
36,Governance,Anti-Corruption Initiatives,The courses offered at the Academy seek to ensure that ethics and integrity become values lived by everyone within an organization; that service delivery is optimal and that employees offer professional service upholding public trust and that the principle of common good vis a vis private interest or advantage is upheld.,Kozi zinazotolewa katika Chuo cha elimu zinalenga kuhakikisha kwamba maadili na uadilifu huwa thamani zinazoishiwa na kila mtu ndani ya shirika; kwamba kutoa huduma ni bora na kwamba wafanyakazi kutoa huduma ya kitaalamu kuimarisha imani ya umma na kwamba kanuni ya mema ya pamoja dhidi ya masilahi binafsi au faida ni kuhimiliwa.,,"Puonj ma ipuonjo e skul dwaro ni timbe mabeyo kod tim makare obed kido ma ji duto manie riwruok nyalo bedogo; mondo omi jotich duto thuolo mar chiwo tich maber, kendo mondo giti ne jotichgi e yo ma miyo ji geno kendo mondo omi ji duto oyud ber kuom wach moro ma gihero.","Koorsooyinka lagu bixiyo Akadeemiyada waxay u baahan yihiin in la hubiyo in anshaxa iyo daacadnimada ay noqdaan qiimo ay ku nool yihiin qof kasta oo ku jira urur; in adeegga la siiyo uu yahay midka ugu fiican, iyo in shaqaalaha ay bixiyaan adeeg xirfadeed oo lagu kalsoon yahay dadweynaha iyo in la ilaaliyo mabda'a wanaagga guud ee danta ama faa'iidada gaarka loo leeyahay.",EACC,2 October 2018,https://eacc.go.ke/default/national-integrity-academy/,governance_psa_dataset.csv,,,,True
37,Governance,Anti-Corruption Initiatives,Commission officers themselves must exemplify integrity.,Wafanyakazi wa Tume wenyewe wanapaswa kuonyesha utimilifu.,,Owete gi nyimine ma tiyo ne Jehova e pinje duto nyaka bed ranyisi maber mar bedo joma luwo tim makare.,Saraakiisha Komishanka waa inay tusaale u noqdaan daacadnimada.,EACC,2 October 2018,https://eacc.go.ke/default/national-integrity-academy/,governance_psa_dataset.csv,,,,True
38,Governance,Anti-Corruption Initiatives,Various stakeholders must play their role for the fight against corruption to succeed.,"Ili kupambana na ufisadi kufanikiwe, wanaohusika mbalimbali lazima wafanye kazi yao.",,"Mondo lweny odhi maber, nyaka ji duto ma nigi paro mopogore opogore otim kinda mondo gikony e tieko mibadhi.",Si la dagaalanka musuqmaasuqa uu u guuleysto waa in dhinacyada kala duwan ee daneeyayaasha ah ay doorkooda ka ciyaaraan.,EACC,2 October 2018,https://eacc.go.ke/default/national-integrity-academy/,governance_psa_dataset.csv,,,,True
39,Governance,Anti-Corruption Initiatives,"EACC Commissioner Rose Mghoi Macharia said that, “it is the responsibility of all of us to provide services promptly, and to ensure efficient implementation of the development programmes and projects initiated by the Government”.","Kamishna wa EACC Rose Mghoi Macharia alisema kuwa, ""ni jukumu letu sote kutoa huduma haraka, na kuhakikisha utekelezaji mzuri wa mipango na miradi ya maendeleo iliyoanzishwa na Serikali"".",,"Komisa mar EACC Rose Mghoi Macharia nowacho ni, en ting' marwa waduto chiwo kony mapiyo, kendo neno ni chenro mag dongruok kod chenro mag dongruok ma sirkal osechako tiyo e yo maber.","Guddoomiyaha EACC Rose Mghoi Macharia ayaa sheegtay in ay tahay masuuliyadeena in aan si deg deg ah u bixino adeegyada, iyo in la hubiyo in barnaamijyada horumarinta iyo mashaariicda ay bilaabeen dowladda si hufan loo hirgeliyo.",EACC,2 October 2018,https://eacc.go.ke/default/national-integrity-academy/,governance_psa_dataset.csv,,,,True
40,Governance,Anti-Corruption Initiatives,"In his remarks, the chairman: The five-day training covered the following areas: Academy Policy Development Workshop Good governance requires that organizations big or small develop policies, procedures and systems that guide their day-to-day operations.","Katika hotuba yake, mwenyekiti: Mafunzo ya siku tano yalifunika maeneo yafuatayo: Shule ya Maendeleo ya Sera ya Chuo cha Sayansi Utawala mzuri unahitaji mashirika makubwa au madogo kuunda sera, taratibu na mifumo inayoongoza shughuli zao za kila siku.",,"E wechene, jatelo: Tiegruok mar ndalo abich ne omako weche maluwogi: Academy Policy Development Workshop Locho maber dwaro ni riwruoge madongo kata matindo olos chike, chenro kod chenro mabiro tayo tijegi mapile.","Khudbadiisa, guddoomiyaha: Tababarka shanta maalmood ah wuxuu daboolay meelaha soo socda: Waxqabadka Horumarinta Siyaasadda Aqoonsiga Maamulka Wanaagsan wuxuu u baahan yahay in ururada waaweyn ama yaryar ay horumariyaan siyaasado, nidaamyo iyo nidaamyo tilmaamaya howlahooda maalinlaha ah.",EACC,2 October 2018,https://eacc.go.ke/default/national-integrity-academy/,governance_psa_dataset.csv,,,,True
41,Governance,Anti-Corruption Initiatives,"Kindly note that only shortlisted candidates will be contacted and will be required to submit Clearance/Compliance certificates from Ethics and Anti Corruption Commission; Directorate of Criminal Investigations; Kenya Revenue Authority; Higher Education Loans Board, and Credit Reference Bureau Ref.","Tafadhali kumbuka kuwa wagombea walioorodheshwa tu watawasiliana na watahitajika kuwasilisha vyeti vya Usajili / Upatanaji kutoka kwa Tume ya Maadili na Kupambana na Ufisadi; Kurugenzi ya Uchunguzi wa Jinai; Mamlaka ya Mapato ya Kenya; Bodi ya Mikopo ya Elimu ya Juu, na Ofisi ya Ufafanuzi wa Mikopo Ref.",,"Ng'e ni joma oket e list mar joma biro yudo thuolo mar dhi e skundno kende ema ibiro tudorigo kendo ibiro dwar ni gimiye osetifiket mar yie kod luwo chike mag Commission for Ethics and Anti-Corruption; Directorate of Criminal Investigations; Kenya Revenue Authority; Higher Education Loans Board, kod Credit Reference Bureau Ref.","Fadlan ogow in kaliya musharixiinta liiska gaaban la xiriiri doono loona baahan doono inay soo gudbiyaan shahaadooyinka ogolaanshaha / waafaqsanaanta ka socda Guddiga anshaxa iyo ka hortagga musuqmaasuqa; Agaasinka baaritaanka dambiyada; Hay'adda dakhliga Kenya; Guddiga amaahda waxbarashada sare, iyo Xafiiska tixraacyada amaahda Ref.",EACC,2023-03-30,https://eacc.go.ke/default/careers/,governance_psa_dataset.csv,,,,True
42,Governance,Anti-Corruption Initiatives,"Job title JOB ADVERTISEMENT - NOVEMBER 2021 Closing Date 2021-11-15 View More Expired Kindly note that only shortlisted candidates will be contacted and will be required to submit Clearance/Compliance certificates from Ethics and Anti Corruption Commission; Directorate of Criminal Investigations; Kenya Revenue Authority; Higher Education Loans Board, and Credit Reference Bureau","Jukumu la kazi TAJIRI - NOVEMBA 2021 Tarehe ya Kumaliza 2021-11-15 Angalia Zaidi Imeisha Tafadhali kumbuka kuwa ni wagombea walioorodheshwa tu watakaowasiliana na watahitajika kuwasilisha vyeti vya Usajili / Upatanaji kutoka kwa Tume ya Maadili na Kupambana na Ufisadi; Kurugenzi ya Uchunguzi wa Jinai; Mamlaka ya Mapato ya Kenya; Bodi ya Mikopo ya Elimu ya Juu, na Ofisi ya Ufafanuzi wa Mikopo",,"TITLE JOB ADVISEMENT - NOVEMBER 2021 Date of Closing 2021-11-15 View More Expired Ng'euru ni joma oket e list matin kende ema ibiro tudorigo kendo ibiro chunogi chiwo gik manyiso ni giikore timo dongruok e weche mag chike kod timbe mag mibadhi; Directorate of Criminal Investigations; Kenya Revenue Authority; Higher Education Loans Board, kod Credit Reference Bureau","Shaqada magaca shaqada XOG-DOON - NOOEMBER 2021 Taariikhda Xidhitaanka 2021-11-15 Muuqaal dheeraad ah oo la soo dhaafay Fadlan ogow in kaliya musharixiinta liiska gaaban la xiriiri doono loona baahan doono inay soo gudbiyaan shahaadooyinka ogolaanshaha / waafaqsanaanta ka socda Guddiga anshaxa iyo ka hortagga musuqmaasuqa; Agaasinka baaritaanka dambiyada; Hay'adda dakhliga Kenya; Guddiga amaahda waxbarashada sare, iyo Xafiiska tixraacda amaahda",EACC,2023-03-30,https://eacc.go.ke/default/careers/,governance_psa_dataset.csv,,,,True
